@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,noap,rchn,strg,umzg,untr}
@data
"es ist so gewesen dass ich jetzt einfach ausgeblendet worden bin und jetzt auf  umgeschaltet worden bin um dass ich die Frage Fragen beantworte also ich weiß nicht mal den Namen von dem Herrn er hat ihn zwar genannt ich wollte ihn noch mal   fragen genau weil ich nicht ganz verstanden habe und dann war das Gespräch auch auf einmal schon beendet und ich  bin ewig schon dran mit der Telekom eine Einigung zu kriegen über meine Rechnung und das lauft schon über drei Monate hinweg oder  ja fast drei Monate und wir kommen nicht zurecht", noap
"es ist so gewesen dass ich jetzt einfach ausgeblendet worden bin und jetzt auf  umgeschaltet worden bin um dass ich die Frage Fragen beantworte also ich weiß nicht mal den Namen von dem Herrn er hat ihn zwar genannt ich wollte ihn noch mal   fragen genau weil ich nicht ganz verstanden habe und dann war das Gespräch auch auf einmal schon beendet und ich  bin ewig schon dran mit der Telekom eine Einigung zu kriegen über meine Rechnung und das lauft schon über drei Monate hinweg oder  ja fast drei Monate und wir kommen nicht zurecht", rchn
"man hat mir komplett nicht geholfen man hat mich in die Warteschleife und anschließend rausgeschmissen sehr sehr unkompetent", knbr
"der Gesprächspartner von ihnen war inkompetent und unfreundlich", kmpt
"ich konnte mit keinem Kundenberater oder Service Berater sprechen ich wurde nicht mal verbunden", untr
"ich war in der Warteschleife es hat bisher noch gar kein  Gespräch stattgefunden", untr
"meine Frage wurde nicht beantwortet und der Berater hat eingehängt", noap
"dass im Servicecenter wenn  um die Rechnung geht niemand Ahnung hat", kmpt
"dass im Servicecenter wenn  um die Rechnung geht niemand Ahnung hat", rchn
"es geht  es ist ist nicht in Ordnung dass Leute die ein spar Vertrag haben mit günstigen  Grundgebühren weil sie wenig Handy Nutzer sind deutlich teurer telefonieren als Leute eine Xtra Card ohne Grundgebühr haben und ich für ein Euro quasi ab der zweiten Minute eine Flatrate leisten können das steht in keinem Verhältnis denn wenn ich sehe dass mein  mit fünfzig Freiminuten  fünfzehn Euro im Monat kostet mit diesen fünfzehn Euro kann ich mit der Xtra Card im Flat nonstop dermaßen mehr telefonieren das steht also in keinem Verhältnis und da fühl ich mich als Vertrags Zahler für vier und zwanzig Euro deutlich über den Tisch gezogen weil ich weniger Leistung für mein Geld erhalte", kdsv
"das Gespräch wurde einfach  das Gespräch wurde einfach unterbrochen und ich kam direkt in ihre Befragung rein die Dame die da am Telefon war war wohl nicht kompetent die sagte tut mir leid ich kann ihnen nicht helfen klack aufgelegt", noap
"das Gespräch wurde einfach  das Gespräch wurde einfach unterbrochen und ich kam direkt in ihre Befragung rein die Dame die da am Telefon war war wohl nicht kompetent die sagte tut mir leid ich kann ihnen nicht helfen klack aufgelegt", kmpt
"bei dem Gespräch ist keine Verbindung zustande gekommen ich weiß nicht ob sie mich jetzt verstehen können meine Handynummer ist null eins sieben drei drei acht eins zwei drei eins sieben", noap
"es geht um eine Störung an einem Geschäfts Anschluss und man kann nicht sozusagen einen Termin für eine mögliche Entstörung bekommen man ist im Ungewissen man steht im Ungewissen wir kommen hier nicht  keiner kann arbeiten das ist grundsätzlich schlecht", strg
"es geht um eine Störung an einem Geschäfts Anschluss und man kann nicht sozusagen einen Termin für eine mögliche Entstörung bekommen man ist im Ungewissen man steht im Ungewissen wir kommen hier nicht  keiner kann arbeiten das ist grundsätzlich schlecht", noap
"es ist direkt nach Kontakt aufgelegt worden Seitens der Telekom", untr
"Hilfe bekommen ich ich hab keine Hilfe bekommen ich bin sofort geleitet worden in die Abfrage  ohne dass man mich beraten hat", untr
"der auf die Probleme wurden nicht eingegangen es wurde keine Telefonnummer von dem Kundenservice vor Ort ausgegeben  und allgemein unfreundliches Verhalten", kmpt
"Zeit", noap
"erstens wurde der Umzug  gebucht seit sechs Tagen versuche ich das jetzt zu regeln keiner von euren Mitarbeiter ist anscheinend fähig das zu regeln zum zweiten ruf ich heute schon zum zehnten mal an und werde immer verschoben und nicht erreichbar und das Gespräch bricht ab und und und  lange Rede kurzer Sinn das  acht oder zehn Mal anrufen bei der Telekom ist das Problem immer noch nicht gelöst und seit sechs Tage kriegt das niemand auf die Reihe", umzg
"erstens wurde der Umzug  gebucht seit sechs Tagen versuche ich das jetzt zu regeln keiner von euren Mitarbeiter ist anscheinend fähig das zu regeln zum zweiten ruf ich heute schon zum zehnten mal an und werde immer verschoben und nicht erreichbar und das Gespräch bricht ab und und und  lange Rede kurzer Sinn das  acht oder zehn Mal anrufen bei der Telekom ist das Problem immer noch nicht gelöst und seit sechs Tage kriegt das niemand auf die Reihe", noap
"mir wurde zugesagt dass mein Telefonanschluss heute freigeschaltet wird ich kann bis jetzt immer noch nicht telefonieren muss ich jetzt mit dem teuren Handy  den ganzen Tag das dritte vierte Mal anrufen und weiß immer noch nicht Bescheid warum es nicht funktioniert", noap
"Beraterin hat einfach den Hörer aufgelegt  Telekom einfach scheiße nur noch", noap
"ihr Mitarbeiter hat andauernd dazwischengeredet mich nicht ausreden lassen und mir nicht geholfen und letztendlich einfach aufgelegt das ist Wahnsinn so was hab ich noch nie erlebt", kmpt
"endlich mit meinem zuständigen Berater verbunden werden", noap
"hat sich nicht die Beraterin hat sich nicht auf meine Beschwerde bezogen und im  Anschluss einfach aufgelegt find ich extrem unzufrieden", noap
"Termin", noap
"ich bin  ich konnte überhaupt nicht zum Service Mitarbeiter durchgestellt werden man hat mich einfach in der Leitung hängen lassen bis ihre Abfrage kam über die Bewertung", untr
"der Berater hat mir nicht ordentlich zugehört und war sehr unhöflich", kmpt
"ihre Mitarbeiter verstecken sich hinter der Anonymität und  Kompetenz ist null vorhanden", kmpt
"so ist ganz einfach so wie sie einen die Tarif über helfen sie fragen rufen an einfach obwohl es verboten war bei mir weil  ein Geschäfts Telefon ist die pampigen Antworten die man von ihnen bekommt und wie sie mit Geschäftskunden umgehen", kdsv
"so ist ganz einfach so wie sie einen die Tarif über helfen sie fragen rufen an einfach obwohl es verboten war bei mir weil  ein Geschäfts Telefon ist die pampigen Antworten die man von ihnen bekommt und wie sie mit Geschäftskunden umgehen", kmpt
"ich habe  ich habe wohl eben angerufen und der Kundenservice wurde mitten im Gespräch leider  wurde aufgelegt dann habe ich wieder angerufen dann wurde ich direkt in diese Hotline dass ich dieses bewerten soll sprich ich habe weder mit einer Kollegin gesprochen noch sonst irgendwas ich find das hier echt einen Witz", knbr
"niemand in die  es ist niemand in die Leitung gekommen ich hab ich wurde verbunden zur Technik und bin direkt auf der Ansage gelandet dass ich doch jetzt bitte diese das Gespräch bewerten wollen das nenn ich doch eine Verarschung", knbr
"leider kein Gespräch", untr
"damit jetzt irgendwo ein Rabatt ist das Gespräch wurde einfach von der Servicekraft der Telekom einfach oder T-Mobile einfach  aufgelegt und  der Person war wahrscheinlich ziemlich egal ob ich hier den Vertrag jetzt kündige ich hab noch dieses Stornierungs Recht  find ich eigentlich ziemlich unverschämt", kdsv
"damit jetzt irgendwo ein Rabatt ist das Gespräch wurde einfach von der Servicekraft der Telekom einfach oder T-Mobile einfach  aufgelegt und  der Person war wahrscheinlich ziemlich egal ob ich hier den Vertrag jetzt kündige ich hab noch dieses Stornierungs Recht  find ich eigentlich ziemlich unverschämt", noap
"die genaue Information über über Ausführung eines Tarifes wenn man  wurden mir nicht mitgeteilt so wie es sein soll wenn man bei T-Com ist  das ist nicht in Ordnung und die  fünf Euro hab ich verschenkt über Jahre das hat ist ärgerlich das bildet immerhin Misstrauen", kdsv
"ich probiere seit einer Woche Telefon und Internet zu bekommen und habe heute mittlerweile nach einer Woche drei und zwanzig Mitarbeiter und jeder Mitarbeiter erzählt mir am Telefon was anderes  das kann nicht sein  dass deutschlandweit Mitarbeiter erreiche und niemand ist kompetent der mir endlich das Internet freischalten tut einmal geht  Telefon plus Internet dann Telefon alleine und dann geht gar nichts mehr dann geht wieder Telefon noch Internet nicht und jeder Techniker erzählt mir was anderes also ich bin da mittlerweile stinkend sauer eine Woche geht das Spiel danke", kmpt
"ich probiere seit einer Woche Telefon und Internet zu bekommen und habe heute mittlerweile nach einer Woche drei und zwanzig Mitarbeiter und jeder Mitarbeiter erzählt mir am Telefon was anderes  das kann nicht sein  dass deutschlandweit Mitarbeiter erreiche und niemand ist kompetent der mir endlich das Internet freischalten tut einmal geht  Telefon plus Internet dann Telefon alleine und dann geht gar nichts mehr dann geht wieder Telefon noch Internet nicht und jeder Techniker erzählt mir was anderes also ich bin da mittlerweile stinkend sauer eine Woche geht das Spiel danke", strg
"auf die einfache Frage einer  einer Anruf Weiterleitung werde ich ins Nirwana geschaltet und  man meldet sich nicht mehr ich habe mittlerweile die fünfte Rufnummer gewählt und  mein Problem ist immer noch nicht gelöst", kmpt
"ich habe gewartet auf einen Mitarbeiter oder Mitarbeiterin und  nachdem der die Musik zu Ende waren die Leitungen wie tot war nichts", untr
"Rechnung", rchn
"es ging um eine Kundin mit der Rufnummer null zwei drei sechs vier vier drei zwei neun weil der Techniker schon öfter nicht da war wir wollten eine Rufnummer angeben von dem Vorbesitzer der in der Wohnung war und der Mitarbeiter legte einfach auf mit der Begründung es ist eine Montage bestellt also muss Montage gemacht werden", kdsv
"es ging um eine Kundin mit der Rufnummer null zwei drei sechs vier vier drei zwei neun weil der Techniker schon öfter nicht da war wir wollten eine Rufnummer angeben von dem Vorbesitzer der in der Wohnung war und der Mitarbeiter legte einfach auf mit der Begründung es ist eine Montage bestellt also muss Montage gemacht werden", noap
"weil ich noch weil ich noch keinen Gesprächspartner hatte dann kann ich kein Urteil abgeben", untr
"ich konnt mit überhaupt niemand sprechen das war gleich wieder geschaltet ich möcht jetzt mit jemanden sprechen es geht um eine Tarif Änderung", untr
"ich konnt mit überhaupt niemand sprechen das war gleich wieder geschaltet ich möcht jetzt mit jemanden sprechen es geht um eine Tarif Änderung", kdsv
"tja die Frage kann ich einfach beantworten es gab überhaupt kein Gespräch ich bin überhaupt nicht verbunden worden mit ihrem ein Kundenberater sondern ganz einfach geleitet worden auf diese Nachfragen ob das Gespräch in Ordnung war ja ein Gespräch was ich nicht geführt habe kann auch nicht in Ordnung sein sehr traurig wie sie mit den Kunden umgehen also naja das war", untr
"war gereizt und  ich hatte praktisch nur gereizte Antworten bekommen wenn ich eine Frage hatte und hatte mich nur  ja schlecht gelaunt durch die Menüs geführt", kmpt
"ich  ich habe vor zwei Tagen angerufen ich habe gestern angerufen und habe um Berichtigung gebeten es passiert nichts und heute ruf ich das dritte mal an und werde einfach weggedrückt ohne dass man mich hin  meine Sache bearbeitet ich werde einfach weggedrückt und schon bin ich wieder raus aus dem Programm ich habe jetzt so viel Zeit investiert und so viel Geld schon über mein Handy vertelefoniert und es ist passiert einfach gar nichts und man kriegt auch kein Rückruf", knbr
"ich  ich habe vor zwei Tagen angerufen ich habe gestern angerufen und habe um Berichtigung gebeten es passiert nichts und heute ruf ich das dritte mal an und werde einfach weggedrückt ohne dass man mich hin  meine Sache bearbeitet ich werde einfach weggedrückt und schon bin ich wieder raus aus dem Programm ich habe jetzt so viel Zeit investiert und so viel Geld schon über mein Handy vertelefoniert und es ist passiert einfach gar nichts und man kriegt auch kein Rückruf", noap
"auf  der Service Mitarbeiter hat einfach aufgelegt weil ich  auf Nachfrage keine Antwort bekommen habe", untr
"bin einfach  ich bin nicht einfach rausgeschmissen worden aus dem Rennen aus der Schleife und  das ist das Schlimmste was eigentlich passieren kann", untr
"ich wurde mit niemanden verbunden kein Mensch hat mit mir gesprochen", untr
"das sie eine genauere Zahl von Angaben machen können wann das  freigeschaltet wird", kmpt
"es kann nicht sein  es kann nicht sein wenn ich anrufe und die Kundenberaterin mein Gespräch entgegennimmt und sagt ja es dauert einen Moment und dann das Gespräch beendet wird also ich find ich fühl mich da etwas veralbert tut mir leid", noap
"die Freundlichkeit der Mitarbeiterin hat zu wünschen übrig gelassen", kmpt
"auf das neue Konto hin abbuchen wir haben die Kontonummer geändert ich hoffe dass sie sonst bekommen sie kein Geld die Telekom ist unzuverlässig hoch drei", kdsv
"auf das neue Konto hin abbuchen wir haben die Kontonummer geändert ich hoffe dass sie sonst bekommen sie kein Geld die Telekom ist unzuverlässig hoch drei", rchn
"die Beraterin war äußerst unfreundlich und hat mich den Worten es warten ja auch noch andere Kunden auf sie mehr oder weniger aus der Leitung heraus komplimentiert das geht gar nicht  und außerdem du die war die wusste gar nichts das so was habe ich ehrlich noch nie erlebt", kmpt
"die Rechnungs Stellung ist bei andern besser", kmpt
"die Rechnungs Stellung ist bei andern besser", rchn
"weil ich bereits zum fünften Mal angerufen habe und der Kollege nicht gesehen hat dass ich mit überhaupt niemand gesprochen hab und das ist sehr ärgerlich für mich", noap
"es ist traurig wie hier mit mit älteren Kunden umgegangen wird also das ist ehrlich für eine Aktiengesellschaft sehr traurig muss ich ganz ehrlich sagen das werden einfach ältere Menschen angerufen und  irgendwas vereinbart und sie wissen gar nicht worum es sich dreht na und wenn sie zurückrufen kriegen sie keine Antwort oder kriegen keine Hilfe keine Unterstützung das ist sehr schlecht mangelhaft", kmpt
"Frage konnte nicht beantwortet werden", noap
"es gab kein Gespräch", untr
"war noch nicht beendet", knbr
"die Mitarbeiter sind nicht in der Lage Aussagen zu tätigen", kmpt
"es nervt langsam mit eurem Mist", noap
"Mitarbeiter von ihnen gesprochen  hallo ich bin nicht verbunden worden", untr
"ich hab mit niemanden gesprochen es war niemand da mit dem ich sprechen konnte das Telefon war war  ruhig kein Ton nichts", untr
"ich habe gar kein Gespräch geführt weil ich nicht verbunden wurde", untr
"ich habe überhaupt nichts erreicht bei diesem Telefonanruf gar nichts", noap
"zu lange Wartezeit", noap
"es waren pampige Antworten es war eine freche Antwort mit  die hat das hab ich grad im Hintergrund noch mitgekriegt ja ja zu guter Strich was wollt ihr Kunden überhaupt von uns  und die Frechheiten die häufen sich und deswegen ist zum Ende des Vertrages nach acht Jahren der  Telekom Schluss das war", kmpt
"die Freundlichkeit des Gesprächs wurde einfach beendet keine Problemlösung", kmpt
"die Freundlichkeit des Gesprächs wurde einfach beendet keine Problemlösung", noap
"ich habe mit keinem Mitarbeiter gesprochen weil niemand am anderen Ende war", untr
"ich habe siebzehn Minuten in der Wartesschleife gewartet das ist eine Sauerei für ein solch großes Unternehmen dass das Geld haben müsste um dementsprechend Berater zur Verfügung zu stellen", noap
"weil ich eine Option aktiveren wollte wo es bei euch nicht funktioniert und da muss man Geld für bezahlen  wenn man bei einem Kunden anruft weil ich", kdsv
"wurde nicht behoben", noap
"eine ausreichende  Information und Auskunft und Ausführung des Auftrags", noap
"ich hab mit einem Herrn Koch telefoniert das Telefonat war sehr kurz weil er hat mich dann einfach geleitet an diese ja Telefon Auskunft Telefonbewertung  das ist für mich wie auflegen nicht angehen", knbr
"Service Rauswurf aus dem Gespräch", knbr
"ich war jetzt  zehn Minuten beziehungsweise eine Viertelstunde in der Warteschleife habe keine Rückinfo bekommen jetzt soll ich das Gespräch bewerten Punkt  Note acht", noap
"ich war jetzt  zehn Minuten beziehungsweise eine Viertelstunde in der Warteschleife habe keine Rückinfo bekommen jetzt soll ich das Gespräch bewerten Punkt  Note acht", knbr
"wurde mit einer Rufnummer der Antrag wurde mir einer Rufnummern   Wunsch geäußert der wurde mir verwehrt  aber mit dem Hinweis dass ich mich auf der acht und zwanzig acht und zwanzig melde  die wiederum sagen mir ich hätt  ja schriftlich machen sollen also Hütchen spielen einmal links einmal rechts einmal gucken wo das landet", kmpt
"wurde mit einer Rufnummer der Antrag wurde mir einer Rufnummern   Wunsch geäußert der wurde mir verwehrt  aber mit dem Hinweis dass ich mich auf der acht und zwanzig acht und zwanzig melde  die wiederum sagen mir ich hätt  ja schriftlich machen sollen also Hütchen spielen einmal links einmal rechts einmal gucken wo das landet", kdsv
"es ist  es ist einfach aufgelegt worden weil man mit dem nicht mehr kam was ich gesagt habe das ist eine Art und Weise am besten eine Bombe in die Telekom vielleicht kommt man dann ein bisschen", noap
"Tarif Änderung", kdsv
"der Mitarbeiter ist unfreundlich gewesen hatte  war nicht hilfsbereit hatte nicht wirklich eine Ahnung davon was ich von ihm wollte also außerdem gab es auch keine Lösung für das Problem", kmpt
"weil ich nicht richtig verstanden werde", noap
"also derzeit lässt der Kundenservice bei T-Mobile sehr zu wünschen übrig  man ruft einen an bietet einem irgendwas an ohne richtig konkrete Angaben zu machen was einen dann nachher erwartet ich bin am überlegen ob ich noch T-Mobile Kunde nächstes Jahr noch bleiben werde", kmpt
"ich finde das Problem sprich ich habe kein    Empfang konnte nicht gelöst werden ich wurde auf unbestimmte Zeit vertröstet", strg
"ich habe keine Antwort bekommen deshalb bin ich unzufrieden ich hab überhaupt keine Antwort bekommen auf meine Frage ich wurde nur in die Warteschleife gestellt und hab keine Antwort bekommen", knbr
"Problem war das Problem war da dass ich alle Kündigungen zusammen geschickt hatte auch mit Einschreiben das wurde von der T-Mobile Hotline oder von von ihnen vom Service nicht erhalten in Anführungsstrichen sozusagen aufgepusht", kdsv
"um genau zu sein war alles ziemlich von Anfang an ziemlich gut nur ich wurde dann einfach  weggeklickt aus irgendwelchen Gründen wo die ich immer noch nicht weiß ich bin immer noch mit dem selben Problem ich komme nicht  danke", knbr
"haben sie rausgeschmissen ich warte immer noch auf den Kundenberater der sich für mich  einsetzt das ist ein scheiß Laden was ihr habt", knbr
"ich hab mit niemanden gesprochen", untr
"diese unnötige Abfrage die unnötige Abfrage nach Informationen die wir nicht haben die man dann unterbrechen will und die Dame dies dann nicht versteht und dann erst gibt  beim ersten Anlauf hab ich eine Dame gekriegt die nur die Grund Daten aufgenommen hat hat von nix eine Ahnung gehabt die hat erstmal den Multimedia Service  angerufen und der Mann da hat dann Bescheid gewusst insgesamt ist die Hotline von der Telekom das heißt von T-Mobile ein Kreuz sondergleichen", kmpt
"ich hab ich finde die Telekom als äußerst unkulant weil mir ein Problem oder ein Fehler unterlaufen ist bei der Überweisung meiner Rechnung ich hab da ein Konto Dreher dringehabt  einen Zahlendreher hab gestern Abend mit einem Kollegen gesprochen von ihnen und der sagte mir wenn ich heut früh gleich überweise das hab ich vorher bei der Arbeit gemacht um sieben Uhr fünf und ein Fax schicke mit der Bitte um Freischaltung und und dem Überweisungsbeleg von der Bank dem ausgedruckten dann würde es wieder freigeschaltet leider habe ich jetzt eine andere Information bekommen dass das gar nicht funktioniert sondern dass das Telefon erst nach vier und zwanzig Stunden nach Zahlungseingang freigeschalten wird nun hätt ich mir die Mühe sparen können da  Brief hinzuschreiben oder ein Fax zu schicken bin ich ein bisschen enttäuscht aber sicherlich auch meine Schuld weil ich ja die Rechnung leider an das falsche Konto überwiesen habe", rchn
"ich hab ich finde die Telekom als äußerst unkulant weil mir ein Problem oder ein Fehler unterlaufen ist bei der Überweisung meiner Rechnung ich hab da ein Konto Dreher dringehabt  einen Zahlendreher hab gestern Abend mit einem Kollegen gesprochen von ihnen und der sagte mir wenn ich heut früh gleich überweise das hab ich vorher bei der Arbeit gemacht um sieben Uhr fünf und ein Fax schicke mit der Bitte um Freischaltung und und dem Überweisungsbeleg von der Bank dem ausgedruckten dann würde es wieder freigeschaltet leider habe ich jetzt eine andere Information bekommen dass das gar nicht funktioniert sondern dass das Telefon erst nach vier und zwanzig Stunden nach Zahlungseingang freigeschalten wird nun hätt ich mir die Mühe sparen können da  Brief hinzuschreiben oder ein Fax zu schicken bin ich ein bisschen enttäuscht aber sicherlich auch meine Schuld weil ich ja die Rechnung leider an das falsche Konto überwiesen habe", kdsv
"ich hatte noch gar kein Gespräch", untr
"war nicht hilfsbereit", kmpt
"es war eine  eine unkompetente Person hat mich beraten hat eine Falschauskunft gegeben kann mich nicht leiten zu der nächsten Instanz ich hab hier ein ganz technisches Problem was ich gerne gelöst haben möchte wird aber einfach nicht durchgeführt", kmpt
"Problem wurde nicht erledigt", noap
"ich hätte mittlerweile hätte ich am zwanzigsten sechsten einen Freischalt Termin bekommen der wurde mir schriftlich von ihnen bestätigt  leider wurde nur ein Telefonanschluss eingerichtet    wurde nicht mit gestellt obwohl ich das von ihnen bestätigt bekam  jetzt teilt mir eine Kollegin von ihnen mit dass der Termin wiederum verschoben wird auf den dreißigsten sechsten und ich  mich gezwungen fühle oder ich wär sehr daran interessiert alles zu stornieren und zur Konkurrenz zu gehen deswegen bin ich mit dem Service nicht zufrieden", noap
"ich mag das nicht wenn die Telekom Fehler macht und der Kunde wird dann für blöd gehalten und wird das wird im Gespräch auch  so ausgedrückt", kmpt
"alles  es war alles zufrieden es ist vielleicht verkehrt rübergekommen ich bin zufrieden gewesen", noap
"der Berater war nicht informiert", kmpt
"die Sprach Box Menü Führung nervt grundlos und der Sachbearbeiter konnte mir dann doch nicht helfen", noap
"Berater hat einfach aufgelegt", noap
"das Gespräch ist abgebrochen worden", knbr
"wollte  der Kollege wollte mir gerade was erklären und das Gespräch war dann abrupt beendet auf einmal kam dieser Sprach Computer und fragt mich nach meiner Zufriedenheit obwohl der Kollege mir gerade was erklären wollte und jetzt würde ich gerne jetzt wieder mit dem Kollegen sprechen aber anscheinend muss ich erst hier irgendwelche Fragen beantworten das ist nicht schön", noap
"das die Leitung einfach von ihnen unterbrochen wurde", knbr
