Transcription_N,Class
"ich ruf' jetzt glaub' ich zum zwei und fünfzigsten Mal an weil es Rechnungs  Abweichungen gibt und ich werd' von einem Kollegen zum nächsten verbunden hab' schon einschreibe Briefe geschickt und nix passiert also irgendwie fühl' ich mich ziemlich veräppelt",4
"sehr nett sehr informativ ja das war's",0
"das war mein bereits mindestens fünfter Anruf zu diesem Thema und es kommen jedes Mal eine andere Information dabei raus heute erzählt mir jemand mein Anschluss wäre würde heute planmäßig freigeschaltet obwohl ich nie eine Bestätigung erhalten hab' und ich find's einfach unglaublich was Ihr Laden da wieder treibt und von daher bin ich mit dem Service sehr unzufrieden",1
"seit vier ein halb Monaten versuch' ich die Sache mit der Rechnung zu klären und es scheint jetzt endgültig doch mal was sich zu bewegen und  ich hoffe dass das mit der nächsten Zusendung von Eurer Seite aus schlussendlich geregelt werden kann denn es ist einfach lachhaft wie lange so was dauert",4
"die bisherigen Beratungen waren im Prinzip alle gut  wenn auch zum Teil fehlerhaft das lag jetzt nicht an den Beratern selber sondern weil einmal eine falsche Fehlermeldung im System eingespeist wurde und immer wieder aufgegriffen wurde  es erscheint mir ein bisschen problematisch was  die Beratungsgeschichten angeht  wer da alles einspeist und wer Informationen pflegt  ich denke da  ist noch Handlungsbedarf weiter",0
"die Wartezeit ist eindeutig zu lang mit sieben Minuten  der Servicemitarbeiter war freundlich  die Auskunft war  in Ordnung nur die Wartezeit muss verkürzte werden",e
"ja jedes Mal das ich anrufe es ist schon das    Gespräch  das ich mit den  Service Technikern geführt hab'  und jedes Mal wurde mir einfach  nicht gesagt wann diese  Störung aufgehoben werden  soll und jetzt seit Monaten läuft es weiter so die Techniker stellen Fragen haben keine Ahnung  die einen sind höflich die anderen ja geht so aber im Prinzip nicht zufrieden zu stellend",3
"ja jedes Mal das ich anrufe es ist schon das    Gespräch  das ich mit den  Service Technikern geführt hab'  und jedes Mal wurde mir einfach  nicht gesagt wann diese  Störung aufgehoben werden  soll und jetzt seit Monaten läuft es weiter so die Techniker stellen Fragen haben keine Ahnung  die einen sind höflich die anderen ja geht so aber im Prinzip nicht zufrieden zu stellend",d
"also ich soll hier was abgeben zu einem Gespräch was ich nicht geführt hab' es wird hier einfach weg gedrückt obwohl mein Festnetz nicht geht das find' ich schon ganz schön lustig  weiter",a
"also ich soll hier was abgeben zu einem Gespräch was ich nicht geführt hab' es wird hier einfach weg gedrückt obwohl mein Festnetz nicht geht das find' ich schon ganz schön lustig  weiter",3
"ja ich bin so schön unzufrieden ich bin seit mehreren Jahren Kundin bei Ihnen ich habe seit zwei Jahren eine Flatrate  was fünf und dreißig Euro die ich monatlich bezahle  leider ist es nicht möglich Zusatzoptionen dazu zu buchen wie Freiminuten in andere Netze oder  SMS  was sehr enttäuschend ist da Sie ja immer damit werben flexibel und individuell auf Ihre Kunden einzugehen  was mich leider dazu zwingt den Netzanbieter zu wechseln   falls Sie Interesse haben dieses noch  zu ändern bitte ich um einen Rückruf und  um ein Gespräch denn ich würde eigentlich ganz gerne Kunde bei Ihnen bleiben wenn diese Änderung nicht möglich ist muss ich meinen Netzanbieter wechseln was dann wahrscheinlich O2 sein wird denn die haben  sehr viel flexiblere Angebote vielen Dank",1
"weiter",0
"nach zwei Jahren  und Theater mit Vodafone  wollte ich jetzt das angeblich so furchtbar einfache iPhone aktivieren und  ja  von wegen einfach gar nichts funktionierte einfach  waren also zwei Anrufe notwendig  bei der Hotline die allerdings ihrerseits sehr gut und  sprachen mitten in der Nacht noch weiter",1
"weiter",0
"ich bin sehr zufrieden",0
"Beratung hat mir sehr gut gefallen   die  Frau  mit der ich gesprochen habe   hat zum einen sehr deutlich gesprochen  und klar auf meine Fragen reagiert und mir sogar ein wunderbares Angebot gemacht",1
"ich kann überhaupt nicht verstehen warum ich jetzt mitten im Gespräch und abgewürgt werde und ich steh' jetzt hier und hab' keine Information bekommen",b
"ich bin unzufrieden weil mir  eine eine bestimmte Kennung oder ein irgendwelches Wort nicht gesagt wurde und behauptet wurde es sei gesagt worden und sonst war ich mit dem letzten Herrn sehr zufrieden  aber die Dame hat mir das einfach nicht gegeben und deswegen sitz' ich jetzt hier weiter und muss weiter warten weil mir das ein irgendein persönliches Passwort nicht gegeben wurde  und deswegen bin ich unzufrieden  und zwar mit",1
"weiter",0
"ich war sehr zufrieden mit dem Gespräch und ich  hab' meine  Sorgen alle beantwortet bekommen und es ist alles okay jetzt danke",1
"ich wurde überhaupt nicht verbunden das ist mein Problem die Telekom ist wirklich ein schlechtes Unternehmen nicht weiter zu empfehlen",a
"ich war nicht sehr zufrieden weil mir keine hinreichende Auskunft gegeben worden ist über den Ausbau  vom DSL es wurde gesagt ja das läuft  eventuell mal angeschrieben keiner weiß so richtig wann wie und wo  und das ist nicht das erste Mal jedes Mal wenn ich anrufe weiß keiner von dem Ausbau vom DSL Netz Bescheid so",1
"weiter   weiter",0
"Ihre Mitarbeiterin die hatte mich  hat mich wunderbar aufgeklärt nur sagen wir mal wir sind mit Telekom ziemlich   erzürnt weil  Sie haben uns einfach hier aus dem Internet abgeschaltet und das seh' ich nicht ein obwohl wir die Rechnungen und so weiter bezahlen",1
"also also eins will ich Euch mal sagen mit Eurer Legitimation da das ist lächerlich wenn ich von diesem Handy aus anrufe ja und  da eine Auskunft haben will und man mir sagt ich muss mich mit der Kartennummer legitimieren weil das sicherer wär' das ist totaler Schwachsinn  wenn ich das Handy auseinander baue wenn ich es geklaut hätte und mir die Katennummer aufschreiben kann ich mich genau so legitimieren das ist totaler Blödsinn und es nervt mich ich will beim Auto fahren nicht meine Kartennummer sagen müssen",0
"weiter",0
"also ich muss sagen ich hab' mit  überhaupt mit keinem Menschen gesprochen mein Telefon war die ganze Zeit an aber es hat sich keiner bei mir gemeldet mehr kann ich da nicht zu sagen",a
"Ordnung   ist in Ordnung",0
"der Kollege hat mir in aller Ruhe bei meinem Problem geholfen in aller Ruhe auch das Problem dass ich noch nicht mal auf den Speed Port kam geklärt es gibt nichts zu beanstanden hervorragend gelaufen",1
"weiter",0
"äußerst zufrieden",0
"er hätte wenigstens eine Auskunft geben können  auch ohne Legitimation sicherlich ist das klar aus Datenschutz rechtlichen Gründen aber   ich hätte sämtliche anderen Informationen auch nennen können die Adresse und sonstige Sachen und da hätt' man sich sicherlich auch etwas  legitimieren können und   es war sehr unfreundlich und ja dementsprechend wurde meine Frage natürlich nicht beantwortet und jetzt muss ich natürlich warten bis ich wieder im Büro bin bis ich  die ganzen Informationen raus gesucht hab' da wird einem also mehr Arbeit gemacht als es nachher letztendlich ist  und ja das ist natürlich nicht sehr schön  muss man sich ernsthaft überlegen ob man da nicht zum anderen Anbieter wechselt dass man da diese Probleme nicht mehr hat",1
"er hätte wenigstens eine Auskunft geben können  auch ohne Legitimation sicherlich ist das klar aus Datenschutz rechtlichen Gründen aber   ich hätte sämtliche anderen Informationen auch nennen können die Adresse und sonstige Sachen und da hätt' man sich sicherlich auch etwas  legitimieren können und   es war sehr unfreundlich und ja dementsprechend wurde meine Frage natürlich nicht beantwortet und jetzt muss ich natürlich warten bis ich wieder im Büro bin bis ich  die ganzen Informationen raus gesucht hab' da wird einem also mehr Arbeit gemacht als es nachher letztendlich ist  und ja das ist natürlich nicht sehr schön  muss man sich ernsthaft überlegen ob man da nicht zum anderen Anbieter wechselt dass man da diese Probleme nicht mehr hat",d
"ja ich kann nur sagen ich wurde eben freundlich sehr nett bedient  die junge Frau war wirklich sehr freundlich hat mir  alle Fragen die ich hatte  die beantwortet die ich wissen wollte da kann ich nur sagen topp",1
"weiter",0
"ich würde den Anruf gerne beantworten wenn ich mal dran gekommen wäre ich habe  angerufen und bin sofort in die Bewertung geschaltet worden es hat überhaupt keiner mit mir gesprochen  das ist echt eine Frechheit dass man einfach weiter gereicht wird zur Bewertung  ohne dass seine Wünsche erfüllt werden das ist schon unverschämt",a
"ja war insgesamt  ein angenehmer Anrufe  eine gute Leistung der Kollegin da am Telefon vielen Dank",0
"ich habe dem Service Berater eine Frage gestellt der musste nachfragen und dann wurde ich einfach weg gedrückt sprich ich habe null Auskunft bekommen",c
"weiter  weiter",0
"ich bin äußerst zufrieden mit der Auskunft die ich bekommen hab' ich bin sehr gut behandelt worden  ein hohes Lob der Telekom und vor allem der Kollegin die am Apparat war danke schön",1
"ich denke das Gespräch ist noch nicht beendet  der Herr wollte irgendwas nachgucken und hat gesagt sein   Computer hängt",c
"das ich bin mit der Beratung vollkommen zufrieden gewesen  und werde mich nach der Auskunft auch richten und werde das was er gesagt hat weiter leiten danke schön",1
"Sie haben mir soeben gefragt ob ich mit dem soeben geführten Gespräch mit Ihrem technischen Support zufrieden gewesen bin dieses Gespräch fand aber noch gar nicht statt  deswegen war meine Antwort unzufrieden  ich hoffe Ihre Statistiken nicht versaut zu haben danke",a
"ich war mit dem Gespräch  des jungen Mannes sehr zufrieden er hat mir ausgiebig Auskunft gegeben und mir auch noch weiterhin Tipps erteilt das Gespräch war für mich also auf jeden Fall okay",1
"ich war sehr zufrieden",0
"das ist eine absolute Katastrophe wenn man irgend etwas als Auskunft braucht zur Rechnung oder zu irgendwelchen anderen Sachen ich bin mit der Beratungs Leistung überhaupt nicht zufriedne  so kann man mit Geschäftskunden die langjährig bei der Telekom  sind nicht umgehen",4
"das ist eine absolute Katastrophe wenn man irgend etwas als Auskunft braucht zur Rechnung oder zu irgendwelchen anderen Sachen ich bin mit der Beratungs Leistung überhaupt nicht zufriedne  so kann man mit Geschäftskunden die langjährig bei der Telekom  sind nicht umgehen",1
"hallo   meine Frau hat  vor einer Woche am Montag eine Rufnummern Unterdrückung bestellt ihr wurde bestätigt dass das eine Woche dauert   in der Zwischenzeit ist es nicht realisiert worden  ich hab' heute noch mal angerufen und hab' ein sehr unangenehmes Gespräch gehabt weil jetzt halt wieder die Nummernunterdrückung erst eingegeben wird das ist also ein Kundenservice der zu wünschen übrig lässt danke",1
"hallo   meine Frau hat  vor einer Woche am Montag eine Rufnummern Unterdrückung bestellt ihr wurde bestätigt dass das eine Woche dauert   in der Zwischenzeit ist es nicht realisiert worden  ich hab' heute noch mal angerufen und hab' ein sehr unangenehmes Gespräch gehabt weil jetzt halt wieder die Nummernunterdrückung erst eingegeben wird das ist also ein Kundenservice der zu wünschen übrig lässt danke",d
"ja der Mitarbeiter  hatte einen ruhigen  sachlichen Ton  es war  sehr kompetent auch in jeder  jeder Hinsicht  nicht so überzogen  nicht so überzogen  freundlich wie das manche Damen zu Tag legen dermaßen  sehr angemessen finde ich  und hat meine Fragen zu zur  vollsten Zufriedenheit also beantwortet",d
"weiter",0
"weiter",0
"nu das Gespräch was ich eben führte mit Ihrem Mitarbeiter das ist kann ich ohne weiteres ein äußerst zufrieden geben war alles in Ordnung hat mich auf bestimmte Sachen hingewiesen die ich nicht wusste  oder  hatte absolut richtig gut der Mann",1
"ja guten Tag hier [vorn]  ich hab' grad  angerufen vorhin im Service und  den Namen nicht verstanden und hab' dann nochmals nachgefragt und da hab' ich die Dame nur hallo hallo sagen hören  und  wurde dann aufgelegt oder die Verbindung wurde unterbrochen kurz zuvor hatte ich eben auch angerufen  und war dann auch gleich weg  und kur zuvor hab' ich eben bei acer beziehungsweise von der mit der Frau  in Mannheim  telefoniert die mir hervorragend geholfen hat und jetzt wollte ich hier noch mal was nachfragen  und krieg' eben keine Verbindung mit dem Service Kundenservice hier zustande ich ruf' dann anschließend gleich nochmals an an dritte Versuch um hier mein Problem los zu werden",b
"ja guten Tag hier [vorn]  ich hab' grad  angerufen vorhin im Service und  den Namen nicht verstanden und hab' dann nochmals nachgefragt und da hab' ich die Dame nur hallo hallo sagen hören  und  wurde dann aufgelegt oder die Verbindung wurde unterbrochen kurz zuvor hatte ich eben auch angerufen  und war dann auch gleich weg  und kur zuvor hab' ich eben bei acer beziehungsweise von der mit der Frau  in Mannheim  telefoniert die mir hervorragend geholfen hat und jetzt wollte ich hier noch mal was nachfragen  und krieg' eben keine Verbindung mit dem Service Kundenservice hier zustande ich ruf' dann anschließend gleich nochmals an an dritte Versuch um hier mein Problem los zu werden",a
"weiter",0
"also das zuerst immer eine Computer Sprache kommt das finde ich nicht so gut also ich wäre lieber gleich beim Serviceberater beim Mensch gelandet",0
"die junge Dame mit der ich eben geredet habe war ausgesprochen gut gelaunt sehr freundlich höflich  hat alles gewusst was ich wissen wollte und  ist auch auf mich  da ich in solchen technischen Sachen völlig unbegabt bin sehr  nachsichtig und sehr freundlich umgegangen und hat mir bei allem wunderbar geholfen und hat mir genau gesagt wie ich das machen soll ich war mit ihr sehr sehr zufrieden und sie war auch sehr gut gelaunt das war auch sehr angenehm",1
"sehr gute kompetente Beratung und sehr freundlich sehr zufrieden",0
"ich bin äußerst unzufrieden $A mit der Telekom und zweitens weil ich mitten im Gespräch rausgeschmissen werde auf diese bescheuerte Befragung weiter",b
"ja mein Informationsgespräch war ein bisschen karg von der anderen Seite ich hatte also Fragen wollte meinen Tarif erhöhen und da kam immer nur ja  ja  ja also ich hätte mir ein bisschen mehr Lebendigkeit gewünscht und ein bisschen mehr Information von dieser Dame und das war eine Frau  das war alles",1
"ja mein Informationsgespräch war ein bisschen karg von der anderen Seite ich hatte also Fragen wollte meinen Tarif erhöhen und da kam immer nur ja  ja  ja also ich hätte mir ein bisschen mehr Lebendigkeit gewünscht und ein bisschen mehr Information von dieser Dame und das war eine Frau  das war alles",d
"man lässt mich zum wiederholten Male in der Leitung hängen  ich werde einfach nicht weiter geleitet",a
"ja ich war mit diesem Gespräch sehr zufrieden die Ihre Mitarbeitern  die  hat mir gut helfen können und ansonsten wie gesagt  ja hab' da jetzt nichts mehr zu zu sagen",1
"äußerst zufrieden",0
"also der Mann konnte mir überhaupt nicht weiter helfen und irgendwie war das Gespräch  auf einmal war es weg und dann kam hier Ihre Servicenummer und ich soll beurteilen wie ich zufrieden bin",a
"ist eine absolute Katastrophe was Sie mit mir hier durchziehen ich versuche hier mein DSL zu bekommen und was machen Sie Sie verbinden mich an vier Mitarbeiter und der vierte legt einfach auf ohne überhaupt meine Daten abzufragen es ist  was ist denn das für ein Service bitte schön  seit ersten zwölften will ich meinen Anschluss haben hab' ich DSL per ISDN gemacht ach Quatsch per Internet und jetzt  erhalt' ich den Anschluss am siebten zwölften nach fünfmal telefonieren bei Ihnen und  DSL überhaupt nicht ist nicht gebucht sagt er mir also der Service ist eine absolute Katastrophe  ich hoffe das noch  weitere Leute entlassen werden bis die Telekom endlich merkt was bei Ihnen überhaupt falsch läuft",1
"ist eine absolute Katastrophe was Sie mit mir hier durchziehen ich versuche hier mein DSL zu bekommen und was machen Sie Sie verbinden mich an vier Mitarbeiter und der vierte legt einfach auf ohne überhaupt meine Daten abzufragen es ist  was ist denn das für ein Service bitte schön  seit ersten zwölften will ich meinen Anschluss haben hab' ich DSL per ISDN gemacht ach Quatsch per Internet und jetzt  erhalt' ich den Anschluss am siebten zwölften nach fünfmal telefonieren bei Ihnen und  DSL überhaupt nicht ist nicht gebucht sagt er mir also der Service ist eine absolute Katastrophe  ich hoffe das noch  weitere Leute entlassen werden bis die Telekom endlich merkt was bei Ihnen überhaupt falsch läuft",d
"ich fand den Sachbearbeiter sehr kompetent und hab' mich gefreut  dass wir endlich mal nach mehreren Anrufen jetzt auch eine Antwort auf unsere Frage erhalten haben trotzdem finde ich es ein bisschen schwach dass  insgesamt Sie keine Rückmeldung von diesem komischen Bauamt bekommen  wann  die bei uns jetzt die Leitungen reparieren  das heißt die haben den Auftrag und mehr können kann jetzt die Telekom quasi für uns nicht machen und somit sitzen wir hier natürlich irgendwie rum und wissen nicht wann das jemals geschehen wird  trotzdem fand ich jetzt aber eben die Hilfe des Sachbearbeiters  sehr zufrieden stellend",1
"ich fand den Sachbearbeiter sehr kompetent und hab' mich gefreut  dass wir endlich mal nach mehreren Anrufen jetzt auch eine Antwort auf unsere Frage erhalten haben trotzdem finde ich es ein bisschen schwach dass  insgesamt Sie keine Rückmeldung von diesem komischen Bauamt bekommen  wann  die bei uns jetzt die Leitungen reparieren  das heißt die haben den Auftrag und mehr können kann jetzt die Telekom quasi für uns nicht machen und somit sitzen wir hier natürlich irgendwie rum und wissen nicht wann das jemals geschehen wird  trotzdem fand ich jetzt aber eben die Hilfe des Sachbearbeiters  sehr zufrieden stellend",d
"eine sehr freundliche Beraterin  weiter",0
"äußerst zufrieden  weiter",0
"weiter",0
"bin zufrieden mit den  Mitarbeitern",0
"also ich finde den Service  plus die Beratung sehr gut  ich habe jetzt gestern einmal angerufen und auch heute immer sehr freundlich höflich nett hilfsbereit ich bin ja auch nicht mehr die Jüngste und  werde trotzdem geholfen   falls man auch Fragen hat die dem einen oder anderen vielleicht selbstverständlich sind aber b  unsereins erst halt überlegen müsste  und ich finde auch gut dass man   Preise verändern kann wenn man vorher irgendetwas ausgehandelt hat weil man  jetzt  eben nicht mehr soviel verdient oder  arbeitslos wird oder dass man kein nicht mehr soviel Einkommen hat dass man auch die Preise also auch den Satz runter gehen kann  das fand ich eigentlich sehr toll und auch erleichternd  und auch  die Auskunft wo man sich melden kann wenn man anders was mit Festnetz oder mit Eintragungen in den Telefonbüchern  da",1
"ja das   Gespräch wurde von dem Berater abgebrochen  ich hatte das Gefühl dass wir aneinander  vorbei reden und er überhaupt nicht verstanden hat  um wo um was es ging ich hatte wie gesagt  das mehrfach wiederholt und dann war plötzlich das Gespräch zu Ende",b
"ja das   Gespräch wurde von dem Berater abgebrochen  ich hatte das Gefühl dass wir aneinander  vorbei reden und er überhaupt nicht verstanden hat  um wo um was es ging ich hatte wie gesagt  das mehrfach wiederholt und dann war plötzlich das Gespräch zu Ende",d
"ja die Störung ist am fünf und zwanzigsten November das erste Mal gemeldet dann am sieben und zwanzigsten am zweiten am dritten heute haben wir den achten Dezember und es ist immer noch nichts geschehen",3
"weiter",0
"weiter",0
"weiter",0
"die Mitarbeiterin Frau  hat mich sehr gut  beraten mir alle Auskünfte erteilt und war sehr nett",1
"Ihr Herr  ist ein sehr kompetenter und freundlicher Mitarbeiter nur weiter so und das sollten sich einige Kollegen mal hinter die Ohren schreiben",0
"weiter",0
"der Herr hat mich äußerst gut beraten ich  leider ich mein Handy verloren hab' und ich bin sehr sehr zufrieden mit dem was er mir mitgeteilt hat und wo ich wie ich mich weiter auch verhalten muss  weiter",1
"also die Dame war sehr freundlich und nett und  kann man weiter empfehlen",0
"ich war überrascht der  der der Service  Kollege kam sofort dran hat mir eine gute Auskunft gegeben wie gesagt ich bin überrascht über  im Moment über diesen Anruf sonst war das leider nicht immer so",1
"äußerst zufrieden",0
"weiter",0
"weiter",0
"ich bin jetzt das zweite Mal hier raus geflogen ich konnte nicht gar nichts klären mit Ihnen also der Service ist total null heute",a
"die Dame die mich jetzt hier beraten hat  war sehr sehr hilfsbereit und verständnisvoll sie hat auch in den Unterlagen nachgeguckt  ich ich bin wirklich äußerst zufrieden über die Freundlichkeit und und und die Service Qualität die das Personal hat das war in der Vergangenheit schon ganz ganz anders ich bin sehr zufrieden",1
"die Dame die mich jetzt hier beraten hat  war sehr sehr hilfsbereit und verständnisvoll sie hat auch in den Unterlagen nachgeguckt  ich ich bin wirklich äußerst zufrieden über die Freundlichkeit und und und die Service Qualität die das Personal hat das war in der Vergangenheit schon ganz ganz anders ich bin sehr zufrieden",d
"also ich war mit dem Gespräch sehr zufrieden und die Dame war sehr nett und freundlich",0
"auf eine kurze präzise Frage kurze präzise Antworten das war sehr okay",0
"ja ich war sehr zufrieden ich wurde direkt beraten das was ich wollte hab' ich bekommen  und  ich fand das klasse danke weiter",1
"ja ich bin sehr zufrieden ich hab' sofort richtige Auskunft bekommen es ist alles einwandfrei in Ordnung danke schön",1
"ja also ich bin  wirklich sehr zufrieden mit der Dame mit der ich gesprochen habe sie hat  das alles zu Protokoll genommen ich hoffe bloß dass es diesmal  klappt  sie leitet das weiter an eine andere Stelle und die hoffe ich wird einen Rückruf machen gestern erfolgte dieser Rückruf nicht und wir warteten umsonst",1
"ja also ich bin  wirklich sehr zufrieden mit der Dame mit der ich gesprochen habe sie hat  das alles zu Protokoll genommen ich hoffe bloß dass es diesmal  klappt  sie leitet das weiter an eine andere Stelle und die hoffe ich wird einen Rückruf machen gestern erfolgte dieser Rückruf nicht und wir warteten umsonst",d
"weiter",0
"ich hatte ein Gespräch mit Frau  und wollte mich bedanken auch bei Frau  also die war sehr sehr zuvorkommend sehr sehr nett also ich kann sie nur in höchsten Tönen loben",0
"weiter",0
"na ich war äußerst zufrieden sehr nett   sehr kompetent sehr freundlich nicht devot  ja das war's weiter  jetzt weiter",0
"ja ich war wirklich sehr zufrieden mit der jungen Frau am Telefon wofür sie natürlich nicht kann  wenn sich die Zeiten ändern also die Fristen wo man ein neues Telefon bekommen kann  war ich jetzt ein bisschen enttäuscht aber das ist das möchte ich betonen ja nicht ihre Schuld ich hab' mich sehr auf ein neues Telefon gefreut aber vielleicht klappt das ja dann doch ein bisschen eher danke",1
"das Kapitel ist noch nicht abgeschlossen weil morgen ein Serviceberater kommt  weiter",1
"mit dem jungen Mann den ich eben gesprochen habe war ich sehr zufrieden",0
"das war ein sehr nettes Gespräch mehr braucht man dazu  nicht zu sagen konnte alle Fragen stellen man hat die Zeit genommen die für mich  in aller Zufriedenheit zu beantworten",1
"ist alles okay weiter",0
"die Dame die mich beraten hat die war super",1
"ich war äußerst zufrieden mit der Beratung vielen Dank noch einmal",1
"also ich habe das erreicht was ich wollte ich habe eine gute Auskunft bekommen und damit ist das in Ordnung",1
"der letzte Anrufe  und  die Mitarbeiterin der Telekom waren hervorragend    allerdings die Anrufe zuvor und die Leistungen eines Herr    waren absolut unzureichend und unzufrieden stellend insgesamt ist allerdings auch der Service der Telekom nicht gerade besonders toll weiter",d
"weiter",0
"ich bin deswegen nicht zufrieden weil ich bei meinen Anrufen nie weiter komme ich komme nie an das Ziel wo ich hin will das liegt aber nicht an mir das liegt an der Telekom und es ist mir langsam leid dann geh' ich woanders hin",a
"ich bin äußerst zufrieden weil Frau  nachdem ich es achtzehn Anrufe oder sie die achtzehnte ist endlich  meinen Auftrag los geworden bin und einen festen Termin bekomm' sie ist  äußerst zuvorkommen und freundlich gewesen und hat mir einen Termin verschafft um das Problem zu lösen besser geht's nicht danke schön",1
"habe klare Aussagen zu meinen Fragen bekommen das war in Ordnung wenn es denn jetzt auch so läuft dann ist es wunderbar  weiter",1
"von Anfang bis Ende bei diesem Gespräch  eine sehr kompetente  Umgangsweise mit dem Kunden  wenn diese Sache jetzt erledigt wird  und ich dann am Ende des Monats zufrieden bin dann  bin ich mit dem Service der Telekom auch zufrieden also bis dahin sehr kompetente  Behandlung danke schön",1
"weiter   ich bin sehr zufrieden das war sehr nett",0
"weiter",0
