@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,untr,noap}
@data
"viel zu lange in der Warteschleife gehangen beim ersten Anruf nach zwei Sekunden oder drei Sekunden nach  Ihre Wartezeiten sind einfach viel zu lang", kmpt
"viel zu lange in der Warteschleife gehangen beim ersten Anruf nach zwei Sekunden oder drei Sekunden nach  Ihre Wartezeiten sind einfach viel zu lang", untr
"viel zu lange in der Warteschleife gehangen beim ersten Anruf nach zwei Sekunden oder drei Sekunden nach  Ihre Wartezeiten sind einfach viel zu lang", kmpt
"sehr geehrte Damen und Herren  Sie telefonieren mit Kundennummer   man hatte mir am Freitag zugesagt einen  meine Telefonleitung wieder freizuschalten nachdem ich einen Rückstand den ich nicht zu verantworten hatte in Höhe von hundert acht und fünfzig Komma drei und siebzig Euro einzuzahlen jetzt hab ich am Freitag Morgen um neun Uhr ein und fünfzig getan heute Sonntag um zehn Uhr und zwo hab ich leider Gottes immer noch keine Telefonfreischaltung obwohl mir das zugesagt worden ist in Ihrem Callcentern werd ich hin und her verbunden keiner ist dafür zuständig und zum guten Schluss hat man mich jetzt auch noch abgewürgt und das alles nur weil ich Anfang des Jahres eine neue Bankverbindung bei Ihnen hinterlegt habe nach einem Kunden Dasein von mehr als zwanzig Jahren ich bin maßlos enttäuscht und zutiefst verbittert über Ihre Art und Weise wie Sie mit Kunden umgehen", kdsv
"sehr geehrte Damen und Herren  Sie telefonieren mit Kundennummer   man hatte mir am Freitag zugesagt einen  meine Telefonleitung wieder freizuschalten nachdem ich einen Rückstand den ich nicht zu verantworten hatte in Höhe von hundert acht und fünfzig Komma drei und siebzig Euro einzuzahlen jetzt hab ich am Freitag Morgen um neun Uhr ein und fünfzig getan heute Sonntag um zehn Uhr und zwo hab ich leider Gottes immer noch keine Telefonfreischaltung obwohl mir das zugesagt worden ist in Ihrem Callcentern werd ich hin und her verbunden keiner ist dafür zuständig und zum guten Schluss hat man mich jetzt auch noch abgewürgt und das alles nur weil ich Anfang des Jahres eine neue Bankverbindung bei Ihnen hinterlegt habe nach einem Kunden Dasein von mehr als zwanzig Jahren ich bin maßlos enttäuscht und zutiefst verbittert über Ihre Art und Weise wie Sie mit Kunden umgehen", untr
"die Auskunft über das wie geht", noap
"elfeinhalb Minuten Warten und kein Ansprechpartner danke", kmpt
"elfeinhalb Minuten Warten und kein Ansprechpartner danke", knbr
"die maschinelle Befragung von Teilnehmern halt ich für unzumutbar beziehungsweise für völlig daneben weil die die Teilnehmer nur belastet anstatt in der Sache zukommen", noap
"seit vier Tagen häng ich in irgendwelchen Hotlines hab unzählige Stunden damit verbracht irgendwie und ende immer damit dass ich am Ende aus irgendeinem Automaten rausfall oder irgendwie ich nicht verbunden werden kann weil die Leitung besetzt sind es ist haarsträubend das kotzt mich so an irgendwie es ist nicht zu glauben Euer Service ist wirklich der allerletzte", noap
"eine Woche vorher aber gut gestern war der vier und zwanzigste bis heute fünf und zwanzigsten Sonntag ist es noch nicht erfolgt keiner kann mir helfen keiner der Telekommitarbeiter keiner da", kdsv
"das Sprachportal hat Probleme in der Spracherkennung vor allem macht sich dies auch bei lauten Hintergrundgeräuschen bemerkbar zum Beispiel im Einsatz draußen auf der Straße oder bei entsprechenden lauten Hintergrundgeräuschen daher ist das Sprachportal nicht unbedingt für den mobilen Bereich zumindest für meine Bedürfnisse empfehlenswert", noap
"ich rufe zehn tausend Mal in mein Leben an weil ich Störungen habe dann werd ich einfach weggedrückt und dann kommt auf einmal irgendeine Computer Ansage das ist nicht mehr normal", kdsv
"ich rufe zehn tausend Mal in mein Leben an weil ich Störungen habe dann werd ich einfach weggedrückt und dann kommt auf einmal irgendeine Computer Ansage das ist nicht mehr normal", untr
"ganz einfach ganz einfach aus dem System rausgeworfen zu werden ohne e Kundenbetreuung zu kriegen", knbr
"das Schreiben und die Auskunft von der Telekom ist unzureichend", noap
"das  das Gespräch war auf einmal zu Ende und ich weiß nicht was los hin mit meinem Internet", untr
"ich habe bis jetzt noch keinen Berater gesprochen", knbr
"wiederholt  bekomm ich von Ihnen falsch gestellte Rechnungen ich bin es Leid jedes Mal anzurufen und Sie drum zu bitten dass Sie die Rechnung richtig stellen sollen ich glaub das ist inzwischen mein achter Anruf ich bin Unternehmensberater und ich werde Ihnen mit dem nächsten Anruf meine Dienstleitung in Rechnung stellen bitte notieren Sie das vielen Dank", kdsv
"der Mitarbeiter ist unfreundlich und nicht kompetent meiner Meinung nach", kmpt
"es war zu kurz", noap
"es hat kein Gespräch stattgefunden war keiner rangegangen", knbr
"die Auskunft hat mir nicht geholfen", noap
"ich wollte einen Mitarbeiter sprechen habe aber keinen bekommen", knbr
"keine Lösung unfreundliche Bedienung keine Verbindung zu einer kompetent Person", kmpt
"Ihr Mitarbeiter hat das Gespräch einfach beendet ohne etwas zu sagen ohne auf meine  Bedürfnisse einzugehen und hat einfach aufgelegt und das kann einfach nicht sein Sie werden von mir eine schriftliche eine schriftliche Abmahnung erhalten danke", untr
"ich habe jetzt zweimal insgesamt sechs und zwanzig Minuten auf meinem Gerät oder sieben und zwanzig und ich bin jedes Mal aus dm Gespräch rausgeflogen irgendwann das Gespräch wurde Ihrerseits beendet ohne dass sich was getan hat ich habe immer noch diese Störung und leider ist es nicht gelungen trotz aller  Zahlungen die ich dafür tätigen kann irgendeine zufriedenstellende Antwort zu bekommen das ist nicht zufriedenstellend schlecht tschüss", untr
"ich habe jetzt zweimal insgesamt sechs und zwanzig Minuten auf meinem Gerät oder sieben und zwanzig und ich bin jedes Mal aus dm Gespräch rausgeflogen irgendwann das Gespräch wurde Ihrerseits beendet ohne dass sich was getan hat ich habe immer noch diese Störung und leider ist es nicht gelungen trotz aller  Zahlungen die ich dafür tätigen kann irgendeine zufriedenstellende Antwort zu bekommen das ist nicht zufriedenstellend schlecht tschüss", kdsv
"der  UMTS Stick  bei dem Festnetz bin ich zu eins und eins gegangen bei dem UMTS Stick muss ich mir auch überlegen ob ich den Anbieter wechsele", noap
"der Telekom Berater hat  sehr sehr undeutlich gesprochen ich hatte fast den Eindruck dass er entweder eine Sprachbehinderung hat oder betrunken ist und er hat sich  soweit ich es verstanden habe in  sehr umständlichen Techniker Deutsch ausgedrückt hat von Konfigurations Menü und solchen Dingen gesprochen und was ich alles nicht verstehe ich hab das Gespräch dann freundlich beendet", kmpt
"für  für den teuren Anschluss einfach zu schlechter Service ja", noap
"der Mitarbeiter ist nicht auf meine Fragen eingegangen war von oben herab war arrogant und hat mir nur gesagt ja dann ist das halt so und dann haben Sie halt Pech gehabt und was noch alles sehr sehr unglücklich  wie er sich am Telefon mir gegenüber geäußert hat", kmpt
"zu lange Wartezeiten falsch verbunden zweimal ja", kmpt
"ich wurde ich wurde einfach verbunden ohne dass ich das wollte", knbr
"wenn das Gespräch seitens der Telekom abgebrochen wird", untr
"ich wollte  ins Internet ich hab Internetprobleme die Dame am Telefon wollte mich verbinden und hat mich nicht  aber das geschah diesmal leider nicht die hat einfach aufgelegt die Frau", kdsv
"ich wollte  ins Internet ich hab Internetprobleme die Dame am Telefon wollte mich verbinden und hat mich nicht  aber das geschah diesmal leider nicht die hat einfach aufgelegt die Frau", untr
"man kriegt keine vernünftige Aussage dann wird man einfach weggedrückt dass man in die  Befragung reinkommt das ist sehr schlecht", untr
"die Mitarbeiterin legte mitten im Gespräch einfach auf und das ist das allerletzte ist das mitten im Gespräch aufzulegen das allerletzte und das ist nicht das erste Mal", untr
"die Dame am Telefon war zwar nett aber mein Problem ist nicht gelöst weil Sie nicht Bescheid wusste", kmpt
"das Personal war absolut inkompetent man konnte mir noch nicht mal sagen ob die Mitarbeiter heute dort sind die beim Servicecenter der   zuständig sind", kmpt
"das Personal war absolut inkompetent man konnte mir noch nicht mal sagen ob die Mitarbeiter heute dort sind die beim Servicecenter der   zuständig sind", kdsv
"es ist für mich unverständlich das übers Wochenende kein Service für den Normalkunden stattfindet keine Störung   Entstörung", kdsv
"ich habe keine Auskunft erhalten von Frau  war sehr unfreundlich", kmpt
"keinen konkreten ich habe keine konkreten Aussage bekommen von Ihrer Mitarbeiterin und die hat dann einfach aufgelegt das war das Ende des Gespräches", untr
"ich bin nicht geleitet worden es hieß nur vielen Dank und versuchen Sie’s später noch einmal", knbr
"Ihr Mitarbeiter ist nicht auf meine Frage eingegangen und konnte mir in keinster Art und Weise mit dem Problem einer Rechnung helfen", kdsv
"es war alles wie ich mir das nicht wünsche erstens Nummer ist nicht erreichbar  meldet sich niemand und dann werd ich gefragt wie ich zufrieden bin sorry das ist eine Veräppelung danke", knbr
"das Beratungsgespräch wurde durch diese Befragung unterbrochen", untr
"das Problem konnte nicht gelöst werden unser Anliegen und wir wurde nicht mit der zuständigen Fachabteilung verbunden", noap
"alles Sie sollten mal überlegen ob Sie nicht mal Ihre Mitarbeiter feuern  die hat noch nicht mal ein Wort zu Ihr gesagt so ungefähr", noap
"der Mitarbeiter  konnte mir nicht genau sagen was ich haben möchte obwohl ich ihm erklärt habe  und ich weiß dass es dieses Angebot der Datenkarte gibt und er hat das Gespräch einfach beendet ohne  mich  zu vermitteln sondern hat einfach mich ins Bewertungssystem geleitet ohne ein Ade ohne ein gar nichts Dankeschön", kdsv
"der Mitarbeiter  konnte mir nicht genau sagen was ich haben möchte obwohl ich ihm erklärt habe  und ich weiß dass es dieses Angebot der Datenkarte gibt und er hat das Gespräch einfach beendet ohne  mich  zu vermitteln sondern hat einfach mich ins Bewertungssystem geleitet ohne ein Ade ohne ein gar nichts Dankeschön", untr
"ich konnte mit überhaupt keinem Berater sprechen es hat sich nichts gerührt", knbr
"Ihr Mitarbeiter Herr  hat  mich am Telefon angeschrien und kurz bevor das Gespräch beendet worden beziehungsweise bevor er mich verbunden hat hat er sich kaputtgelacht absolut negativer Kundenservice", kmpt
"keine Möglichkeit der Erklärung", noap
"ich kam kaum zu Wort ich hab ihm eine Frage gestellt und die Dame war nicht in der Lage mich vernünftig ausreden zu lassen quatschte mir dauernd dazwischen und gab mir irgendwelche Statements die ich längst kannte und die hat mir nicht zugehört und hat mir meine  meine Probleme und Beschwerden gar nicht abgenommen", kmpt
"als es kompliziert wurde er hat der Mitarbeiter einfach aufgelegt", untr
"ein Telefongespräch mit einer Ihrer  Callcenter Mitarbeiterin am Freitag Morgen hat mich sehr verärgert ausgesprochen verärgert was Ihre Kollegin am Freitag Nachmittag und heute Morgen nicht wettmachen konnten und mein technisches Problem dass ich mit meiner Mailbox hab besteht immer noch", kdsv
"ein Telefongespräch mit einer Ihrer  Callcenter Mitarbeiterin am Freitag Morgen hat mich sehr verärgert ausgesprochen verärgert was Ihre Kollegin am Freitag Nachmittag und heute Morgen nicht wettmachen konnten und mein technisches Problem dass ich mit meiner Mailbox hab besteht immer noch", kmpt
"die Art und Weise wie der Mitarbeiter mich behandelt hat", kmpt
"gar keine  ich habe gar keine Antwort erhalten", knbr
"die Mitarbeiterin hat mich aus der Leitung geworfen weil sie zu keinem Gespräch  bereit war", untr
"die Reaktionszeit von fast fünf Tagen ist viel zu langsam", noap
"ich habe noch ich habe noch gar nicht mit den Leuten gesprochen Sie haben mich einfach hier verbunden ich hab noch gar nicht mein Problem geäußert", knbr
"ja weil ich  ich habe Problem mit einer Rechnung und  man  hat mich da auf  schriftlichen auf den schriftlichen Weg verwiesen und das muss ich sagen das bist ein bisschen steifbeinig", kdsv
"ich bekam keine Verbindung mit mir hatte niemand gesprochen ich warte immer auf den Gespräch und Erledigung meiner  Anfrage", knbr
"ach ganz einfach die  im  Callcenter haben mich immer abgewürgt ich bin nicht einmal durchgekommen so ist das", knbr
"Auskunft war beschissen", noap
"man wird einfach als Kunde im Stich gelassen denn man bekommt keine Auskunft und dabei ist der Anschluss schon seit über einem Monat nicht geschaltet", kdsv
"ich hatte überhaupt kein Gespräch ich hörte Musik im Ohr ich warte noch immer auf ein Gespräch ganz Deutschland muss gestört sein", knbr
"mir wurde vorgeschlagen  verbunden zu werden zu einem Fach Team wegen der  Erlangen des Telekom Vorteil Checks ich war in der Warteleitung so lange bis diese Frage zur Qualität entstanden ist außerdem habe ich moniert dass auf der Auftragsbestätigung die mir vom zwölften zehnten zugegangen ist keine Zuordnung der Änderungs Positionen plus oder minus ersichtlich ist und dieses kann angeblich auch nicht  generiert werden und das ist ein nicht ausreichender Zustand der Telekom Rechnung beziehungsweise dieser Auftragsbestätigung sie ist nicht nachvollziehbar", kdsv
"ich hab schon die andere Hotline der T-Com angerufen die  irgendwie find ich ist das nicht so korrekt in Ihrem Unternehmen und ich überleg jetzt ob wir  Telekom zu wechseln", kdsv
"bei mir vor der Haustür wird eine DSL Leitung gelegt von der  dadurch würd ich DSL Geschwindigkeiten  beliebiger Höhe bekommen leider schließen sie sich nicht an und ich bin leider gezwungen bei Telekom zu kündigen", kdsv
"ich warte ewig auf den Kundenberater und dann mitten im Gespräch werd ich unterbrochen wegen dieser blöden  Abfrage also und jetzt will ich den Kundenberater sprechen und   jetzt ist er weg oder was", untr
"die Dame im ersten Callcenter hat mich zum  verbunden da ich Entertainment Kunde bin  mit dem Erfolg dass das Gespräch dann beendet war", kdsv
"wartet und keine richtig verstanden die Gegenseite", noap
"eine viel zu lange Wartezeit und vor allen Dingen herumgeschickt jetzt von Pontius zu Pilatus", kmpt
"zwölf  nachdem ich zwölf Minuten in der Warteschleife war wurde ich zu Telekom verbunden und hab keinen Mitarbeiter erwischt der hat abgehoben und wieder aufgelegt und sofort hab ich Sie dran gehabt die Abfrage und kein Gespräch geführt", kmpt
"zwölf  nachdem ich zwölf Minuten in der Warteschleife war wurde ich zu Telekom verbunden und hab keinen Mitarbeiter erwischt der hat abgehoben und wieder aufgelegt und sofort hab ich Sie dran gehabt die Abfrage und kein Gespräch geführt", untr
"also es  in der Warteschleife häng sieben und zwanzig Minuten ist einfach viel zu lang es geht nicht und es ist einfach nicht den Service den ich von Ihnen gewohnt bin also wenn ich mal  eine Frage habe hab ich nichts dagegen aber fünf und zwanzig Minuten Minimum ist einfach zu viel und das ist mein Anliegen", kmpt
"ich versuche seit  das völlig völlig ergebnislos weil weil der weil ich gar nicht zum Gespräch gekommen bin", kdsv
"ich versuche seit  das völlig völlig ergebnislos weil weil der weil ich gar nicht zum Gespräch gekommen bin", knbr
"die Reaktion auf mein Reklamation war äußerst unbefriedigend es wurde einfach aufgelegt", untr
"dreizehn Minuten Wartezeit und nicht durchgestellt worden und ich warte immer noch auf Durchstellung", kmpt
"dreizehn Minuten Wartezeit und nicht durchgestellt worden und ich warte immer noch auf Durchstellung", knbr
"der", untr
"wir warten seit vier und zwanzig Stunden auf die Behebung eines Problems rufe immer in der Störungs Hotline durch werde nach fünfzehn Minuten aus der Leitung geworfen und haben es jetzt endlich geschafft einen Ansprechpartner zu erreichen der uns nicht helfen kann", kdsv
"wir warten seit vier und zwanzig Stunden auf die Behebung eines Problems rufe immer in der Störungs Hotline durch werde nach fünfzehn Minuten aus der Leitung geworfen und haben es jetzt endlich geschafft einen Ansprechpartner zu erreichen der uns nicht helfen kann", untr
"ich wurde wissentlich belogen es kann nicht sein dass die Kündigungs Abteilung der Telekom telefonisch nicht erreichbar ist beziehungsweise ich nicht verbunden werden kann mit dieser   Kündigungs Stelle so was kann überhaupt nicht geben so was", kdsv
"es dauert zu lange bis man beim Kundenberater ist und dann wurd ich unterbrochen", kmpt
"es dauert zu lange bis man beim Kundenberater ist und dann wurd ich unterbrochen", untr
"das Gespräch hat leider nicht stattgefunden", knbr
"erstens dauert viel zu lang bis man ein Mitarbeiter  an der Strippe hat zweitens wurd der Mitarbeiter äußerst unfreundlich und hat die Aufgabe meines Erachtens noch nicht zufriedenstellend gelöst und ist unterm Strich auch noch pampig geworden hat das Gespräch beendet gibt unterm Strich dem Kunden die Schuld für die Schlampigkeit der Telekom und wir als externe Firma sollen im Prinzip die Schlampigkeit der Telekom auch noch ausgleichen Telekom hat keine Schuld", kmpt
"erstens dauert viel zu lang bis man ein Mitarbeiter  an der Strippe hat zweitens wurd der Mitarbeiter äußerst unfreundlich und hat die Aufgabe meines Erachtens noch nicht zufriedenstellend gelöst und ist unterm Strich auch noch pampig geworden hat das Gespräch beendet gibt unterm Strich dem Kunden die Schuld für die Schlampigkeit der Telekom und wir als externe Firma sollen im Prinzip die Schlampigkeit der Telekom auch noch ausgleichen Telekom hat keine Schuld", kmpt
"erstens dauert viel zu lang bis man ein Mitarbeiter  an der Strippe hat zweitens wurd der Mitarbeiter äußerst unfreundlich und hat die Aufgabe meines Erachtens noch nicht zufriedenstellend gelöst und ist unterm Strich auch noch pampig geworden hat das Gespräch beendet gibt unterm Strich dem Kunden die Schuld für die Schlampigkeit der Telekom und wir als externe Firma sollen im Prinzip die Schlampigkeit der Telekom auch noch ausgleichen Telekom hat keine Schuld", untr
"Klärung  die Erklärung", noap
"nicht so ist wie ich mir gewünscht hab ganz einfach ich versuch seit Wochen zur Telekom zu wechseln und es funktioniert nicht und ich krieg nie den Status gesagt was mein", kdsv
"ich bin jetzt seit sieben zwanzig Minuten am Telefon und Ihr Kollege hat mich jetzt einfach weggedrückt ich bin jetzt ganz ganz ärgerlich ist wirklich eine Frechheit dieser Service muss ich ganz echt sagen", kmpt
"ich bin jetzt seit sieben zwanzig Minuten am Telefon und Ihr Kollege hat mich jetzt einfach weggedrückt ich bin jetzt ganz ganz ärgerlich ist wirklich eine Frechheit dieser Service muss ich ganz echt sagen", untr
"ich habe fünf Anschlüsse Geschäftsanschlüsse ich werde nach wie vor als Privatkunde geführt  es sollte alles zusammengefasst werden sollen einige Sachen erstattet werden was mir in Rechnung gestellt worden sind mit Unrecht dann hab ich keine Zugangsdaten die ich  erste Mal schon angefordert habe und der Berater mit dem ich gerade gesprochen habe  hat mich verwiesen  auf null hundert achtziger Nummer weil ich Privatkunde bin soll ich mich selbst drum kümmern", kdsv
"alles und mal wieder Systemausfall es konnte nichts nachgeschaut werden", noap
"also die Dame mit der ich gesprochen hab die war  sehr sehr freundlich und sehr nett und an der hab ich überhaupt nichts auszusetzen aber ich warte jetzt fast schon seit einer Stunde dauernd wieder am Telefon mit Musik von Ihn das find ich unglaublich dass man so lange warten muss", kmpt
"vom ich wurde von Service an die Störungs Stelle verwiesen um  da meine Wünsche zu  darzulegen die Störungs Stelle konnte aber mit den mit den Wünschen die ich hatte nichts anfangen weil sie von der Annahme Stelle keine Information geleitet bekommen haben", kdsv
"mitten im Gespräch  wurde ich einfach unterbrochen", untr
"nichts wie ich mir es war nichts wie ich es mir gewünscht habe seit vier Monaten versuch ich einen Telefonanschluss zu bekommen und es ist immer noch nicht gelungen es ist eine Katastrophe", kdsv
"ich wurde aus der Leitung geschmissen", untr
"wir haben hier   kleine kleine Probleme die die wir eigentlich in Ordnung bringen könnten aber anscheinend ist halt dazu niemand in der Lage es sind Kleinigkeiten die halt  acht hundert Euro zu viel berechnet jetzt hab ich eine Gutschrift über acht hundert Euro sieben hundert neun und neunzig genau also irgendwie sollten wir dann  irgendwann mal die Probleme die durch meinen Umzug entstanden sind halt einfach in Ordnung bringen  ich weiß auch nicht wie wir da beikommen Dankeschön ja", kdsv
"wir haben hier   kleine kleine Probleme die die wir eigentlich in Ordnung bringen könnten aber anscheinend ist halt dazu niemand in der Lage es sind Kleinigkeiten die halt  acht hundert Euro zu viel berechnet jetzt hab ich eine Gutschrift über acht hundert Euro sieben hundert neun und neunzig genau also irgendwie sollten wir dann  irgendwann mal die Probleme die durch meinen Umzug entstanden sind halt einfach in Ordnung bringen  ich weiß auch nicht wie wir da beikommen Dankeschön ja", kdsv
"die Bewertung ist unzufrieden da ich überhaupt noch kein Gespräch führen konnte besten Dank", knbr
"in der Bewertung also das ist ja alles völliger Murks", knbr
"ich konnte dem Servicemitarbeiter nicht mitteilen  was mein Anliegen ist ich wurde gleich in den Sprachcomputer gestellt ich find das eine Frechheit", knbr
"ich bin gar nicht verbunden worden und habe gar kein Ansprechpartner gehabt deshalb kann ich das schlecht", knbr
"nachdem die Kollegin nicht mir  helfen konnte wollt ich Ihren Vorgesetzten sprechen daraufhin hat Sie mich irgendwo hinverbunden in eine Beschwerdestelle die haben direkt als ich das vortragen wollten mich in Ihr Bewertungssystem geschickt also im Endeffekt hat mir keiner geholfen ich bin nur geschickt worden beziehungsweise mehr oder minder aufgelegt worden", untr
"ich war damit unzufrieden dass Ihre Mitarbeiterin mir die Arbeit überlässt dass was ich mir gewünscht habe das war dass ich jetzt Rechnungen kriege ich dafür zu sorgen habe und nicht sie dafür zu sorgen haben Sie wollen ja schließlich das Geld von mir haben und  dafür sollten Sie sich ein wenig bemühen  dass also da  Ordnung herrscht also nicht mir die Arbeit aufzubürden sondern Sie sollten sich die Arbeit machen dass ich zufrieden bin", kdsv
"die  man hat meine Frage überhaupt nicht angehört und hat mich auf diesen Verbindungs  Netz gedrückt meines Wissens wollte die Dame überhaupt sich nicht mit meinem Anliegen beschäftigen", untr
"ich habe mein Anliegen vorgebracht ich habe mit der Dane  gesprochen und dann wurde das Gespräch  abgehängt sprich  ich hab keine Antwort bekommen und das jetzt zum wiederholten Male geschehen", untr
"die Dame war sehr freundlich hat versucht mich zuverbinden hat überhaupt nicht geklappt ich hänge Stunden in der Leitung und jetzt bin ich bei Ihnen gelandet und nichts ist passiert", kmpt
"ich finde Ihren Service katastrophal ich bekomme eine Rechnung für ein Anschluss der seit Juni nicht mehr existiert und werde jetzt noch  befragt zu diesem Thema bevor ich überhaupt meine Frage beantwortet bekomme ich möchte umgehend jetzt mit dem Bearbeiter verbunden werden", kdsv
"alles kompletter Service alles war grottenschlecht", noap
"bei Umzug in ein Bereich wo kein vollständiges DSL zur Verfügung steht sondern nur mit sehr niedrigen Transferraten wird kein Sonderkündigungsrecht    angenommen", kdsv
"bei Umzug in ein Bereich wo kein vollständiges DSL zur Verfügung steht sondern nur mit sehr niedrigen Transferraten wird kein Sonderkündigungsrecht    angenommen", kdsv
"wenn ich angerufen werde  mich versteht keiner und ich versteh Sie auch nicht ich die Verbindung ist minderwertig", noap
"ich hab nicht die Auskunft erhalten die ich erwartet hab", noap
"ich wurde weggedrückt keine Antwort", untr
"ich möchte gerne mit Menschen reden aber nicht mit Computer und lange Zeit bei dem Warten", knbr
"ich möchte gerne mit Menschen reden aber nicht mit Computer und lange Zeit bei dem Warten", kmpt
"hallo", noap
"ja weil das alles so durcheinander ist bei der Telekom  das ist nicht normal da   das geht nicht wir sind jahrelang bei der Telekom und also ist Schluss jetzt da rührt sich ja nie was", noap
"ja also wenn die Telekom hin so arbeitet wenn wir alle in der deutschen Wirtschaft so arbeiten würden wie bei der Telekom wär die deutsche Wirtschaft schon lang am", kmpt
"ja also wenn die Telekom hin so arbeitet wenn wir alle in der deutschen Wirtschaft so arbeiten würden wie bei der Telekom wär die deutsche Wirtschaft schon lang am", untr
"wie kann denn sein dass wenn man einen Service anruft dass man ins Gesicht aufgelegt kriegt ohne irgendwas anderes noch gesagt zu kriegen einfach Bamm Zack Feierabend", untr
"man hat mir gesagt ich solle den $N $T $P  Stecker rausziehen und man würde mich wieder anrufen und dann ist die Verbindung ab und ich konnte keine Telefonnummer durchgeben und ich in jetzt hier bei Ihnen in der Bewertung gelandet ich find das nicht okay", untr
"man hat mir gesagt ich solle den $N $T $P  Stecker rausziehen und man würde mich wieder anrufen und dann ist die Verbindung ab und ich konnte keine Telefonnummer durchgeben und ich in jetzt hier bei Ihnen in der Bewertung gelandet ich find das nicht okay", kdsv
"ja für eine bestellt Ware die in Retoure gegangen ist wird keine Rückerstattung  erlassen für Techniker Einsatz der doppelt berechnet wurde wird keine Rückerstattung erlassen  und das Ganze zieht sich bei der Telekom über Monate das ist schlicht und ergreifend eine Sauerei", kdsv
"das Problem wurde nicht gelöst und das Gespräch wurde einseitig einfach beendet", untr
"war die Deutsche  Telekom macht das ist Abzockerei ein deutlich Abzockerei", noap
