@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,untr,noap}
@data
"super unfreundlich Gespräch wurde einfach beendet", kmpt
"es wurde keine kurzfristige verbindliche Lösung angeboten", noap
"Mensch mach", noap
"mit den Leuten von Servicecenter kann man überhaupt gar nicht sprechen  heute war der Techniker da DSL funktioniert nicht hat noch nie funktioniert und mein Vater soll für was bezahlen was nicht funktioniert das  seh ich nicht ein ich wurde verbunden immer verbunden Gespräch wurde  schriftlich so wie sie das gesagt hat  ganz schlechte Beratung  unfreundlich und  ich weiß nicht was für Leute bei Ihnen arbeiten da könnte man eine Oma hinsetzen und sie würde auch mir so helfen Dankeschön", kdsv
"mit den Leuten von Servicecenter kann man überhaupt gar nicht sprechen  heute war der Techniker da DSL funktioniert nicht hat noch nie funktioniert und mein Vater soll für was bezahlen was nicht funktioniert das  seh ich nicht ein ich wurde verbunden immer verbunden Gespräch wurde  schriftlich so wie sie das gesagt hat  ganz schlechte Beratung  unfreundlich und  ich weiß nicht was für Leute bei Ihnen arbeiten da könnte man eine Oma hinsetzen und sie würde auch mir so helfen Dankeschön", kmpt
"ich habe  ich habe für mein Anliegen keine ausreichende oder mich zufriedenstellende Antwort bekommen", noap
"ich konnte nicht zu dem Bearbeiter durchgestellt werden mit dem ich sprechen wollte weil schon alles besetzt war und ich hier aber schon eine ganze Weile versuche  mein Problem zu lösen und schon eine Woche kein Internet Anschluss hab und trotzdem dafür bezahle Dankeschön", kdsv
"ich wurde ständig verbunden und hinterher hieß es bitte rufen Sie später an wir haben keine Zeit für Sie ich bin wütend", noap
"nachdem ich Ihre Hotline nun angerufen habe  mehrmals verbunden und durchgestellt wurde und nun mittlerweile zehn Minuten am Hörer kam dann eine elektronische Ansage dass alle Leitungen belegt und dass Sie sich gefreut haben mich  irgendwo erreicht zu haben beziehungsweise dass ich Sie erreicht habe und ich möge doch zu einem späteren Zeitpunkt zurückrufen ich erwarte dass Sie mich zurückrufen darüber bin ich ziemlich verärgert muss ich Ihnen ganz ehrlich sagen so  im Text", kmpt
"nachdem ich Ihre Hotline nun angerufen habe  mehrmals verbunden und durchgestellt wurde und nun mittlerweile zehn Minuten am Hörer kam dann eine elektronische Ansage dass alle Leitungen belegt und dass Sie sich gefreut haben mich  irgendwo erreicht zu haben beziehungsweise dass ich Sie erreicht habe und ich möge doch zu einem späteren Zeitpunkt zurückrufen ich erwarte dass Sie mich zurückrufen darüber bin ich ziemlich verärgert muss ich Ihnen ganz ehrlich sagen so  im Text", knbr
"Gespräch wurde einfach unterbrochen das Gespräch wurde einfach unterbrochen ich war noch nicht fertig", untr
"ständig falsche Aussagen wo man was beantragen kann", kmpt
"der Service hat einfach das Gespräch beendet", untr
"falsche Auskünfte", kmpt
"die Freundlichkeit und einfach den Hörer aufgelegt", kmpt
"die Freundlichkeit und einfach den Hörer aufgelegt", untr
"Beschwerde über eine Telefonsperre", kdsv
"der Kollege wollte anrufen um mein Problem zu klären das ist nicht erfolgt das Gespräch wurde stattdessen beendet", untr
"ich hatte nur zwei Sekunden den Mitarbeiter am Telefon und dann sofort dieses Ende diese Befragung das finde ich Scheibenkleister", untr
"hätte gerne mein Gesprächspartner zurück", untr
"sofort aus der Leitung", knbr
"wollte eigentlich  ich wollte eigentlich verbunden werden und bin jetzt mit diesem tollen Gerät verbunden worden was soll ich jetzt das bewerten ein Gespräch das noch nicht stattgefunden hat super mein Zeit kost anscheinend nichts", knbr
"ich wurde ja noch nicht mal durchgestellt", knbr
"ich habe trotz Ankündigung keine Verbindung bekommen", knbr
"man ist zu keiner Lösung gekommen", noap
"meine Gesprächspartnerin hat kurzerhand aufgelegt", untr
"weil ich eine kostenpflichtige Rufnummer anrufe und ich so ein Geseier mir anhören muss und dann auf einmal nichts mehr höre und am Ende das Ganze bewerten soll und nicht mal zu meinen Statement komme um mein Frust loszuwerden können Sie sich natürlich auch denken für eine Leitung die nicht erbracht wird Geld zu bezahlen ist nicht toll deswegen negativ absolut negativ", knbr
"Gespräch unvermittelt beendet warum Ursache unklar", untr
"ich sollte zu einer Störung im Internet verbunden werden dann bekam ich die Mitteilung es ist kein Mitarbeiter frei und ich soll später wieder anrufen", kdsv
"ich sollte zu einer Störung im Internet verbunden werden dann bekam ich die Mitteilung es ist kein Mitarbeiter frei und ich soll später wieder anrufen", knbr
"das Gespräch ist einfach abgebrochen worden", untr
"lange Wartezeit", kmpt
"also ich find absolut zum Kotzen wenn man mitten im Gespräch auflegt", untr
"die Verbindung war abgebrochen", untr
"ich habe noch gar keine Antwort von Ihnen ich hänge in der Warteschleife", knbr
"ganz einfach hier ist keine Qualität und keine Verbindung", knbr
"Gespräch wurde einfach beendet", untr
"ich habe  ich habe den Namen der Beraterin nicht verstanden und als ich mein Problem schildern wollte hat sie einfach aufgelegt", untr
"ich habe keine Antwort auf meine Frage bekommen und bin zu Ihnen gestellt worden", knbr
"also es geht erste Mal um diese Vertrag diese media Receiver Vertrag wo ich Widerruf nahm und es dauert mir zu lange das Ganze dies Verarbeitung das Ganze das ist alles  fast ein Monat her und es wurde mein Vertrag nicht wieder zurückgestellt ich will ein anderen Vertrag machen ich geh jeden Tag in Telekom Laden sagen so lange mir nicht grünes Licht geben im mein Computer kann ich nichts machen ich sagen mir das dauert mir zu lange es geht wenn Sie etwas verkaufen wollen das geht immer sehr schnell aber wenn um was widerrufen geht das geht immer sehr langsam und das find ich halt nicht korrekt auch weil mir ein etwas verkauft worden ist wo  nicht ganz war ja wo  schön gemacht worden ist aber am Ende hätt ich mehr zahlen müssen als was vereinbaren und das bin ich sehr unzufrieden mit danke", kdsv
"man  sich nie ich  ich ab das Gespräch nicht beendet sondern Sie haben beendet", untr
"Gespräch wurde nicht beendet", untr
"ich war bisher noch nicht verbunden mit einem Mitarbeiter ich sitze immer noch in der Warteschlange", knbr
"Ihre Machenschaften dass man von Ihren Telefon Heinis überrumpelt wird und  im Prinzip zu gezwungen wird oder Einwilligung zur Nutzung meiner gespeicherten Vertragsdaten ich hoffe das haben Sie verstanden", noap
"die Entsperrung Telefonnummer gibt es nicht mehr und einen  telefonischen Weg ist auch nicht möglich jetzt muss ich einen Brief an T-Mobile richten um mein  Anliegen zu äußern", kdsv
"ja ist folgendes hier  meine Mutter wohnt auf der Straße und ich wohn auf der Straße wir haben jeder  verschiedene Anschlüsse und Telefonnummer und Ihre Gesellschaft ist nicht in der Lage die Telefonnummern oder wenn ich anruf das auseinander zu halten das irgendwo traurig und jetzt bekomm ich  weil kein Anschluss war  bekomme ich irgendwie eine Fahrtkostenrechnung wo ich gar nix mit zu tun habe na ja das war an und für sich irgendwie schlafen die alle bei Ihnen da im Unternehmen ich weiß es nicht oder ich hab immer mit dem falschen Person zu tun das war an und für sich alles bin sehr unzufrieden ich krieg einfach eine Rechnung über Fahrtkosten und hab gar nicht in Anspruch genommen den Service", kdsv
"ja ist folgendes hier  meine Mutter wohnt auf der Straße und ich wohn auf der Straße wir haben jeder  verschiedene Anschlüsse und Telefonnummer und Ihre Gesellschaft ist nicht in der Lage die Telefonnummern oder wenn ich anruf das auseinander zu halten das irgendwo traurig und jetzt bekomm ich  weil kein Anschluss war  bekomme ich irgendwie eine Fahrtkostenrechnung wo ich gar nix mit zu tun habe na ja das war an und für sich irgendwie schlafen die alle bei Ihnen da im Unternehmen ich weiß es nicht oder ich hab immer mit dem falschen Person zu tun das war an und für sich alles bin sehr unzufrieden ich krieg einfach eine Rechnung über Fahrtkosten und hab gar nicht in Anspruch genommen den Service", kdsv
"leider hat die Dame sich nicht wieder zurückgemeldet und ich hatte jetzt überhaupt kein Beratungsgespräch daher kann ich auch nicht sagen das ich zufrieden bin  mein Problem ist unbeantwortet geblieben", knbr
"hallo     tolle Beratung", noap
"die Erreichbarkeit der Hotline ist eine reine Katastrophe die möchte ich mit höchst ungenügend bewerten", noap
"stundenlang in der Warteschleife", kmpt
"an sich bin ich immer mit Ihren Auskünften zufrieden gewesen im Moment sitz ich nur auf der Wartebank um verbunden zu werden es geht um meine Oktober Rechnung ich kann den Einzelverbindungsnachweis  nicht ausdrucken lassen ich bekomme immer Error auf meinem Display", knbr
"an sich bin ich immer mit Ihren Auskünften zufrieden gewesen im Moment sitz ich nur auf der Wartebank um verbunden zu werden es geht um meine Oktober Rechnung ich kann den Einzelverbindungsnachweis  nicht ausdrucken lassen ich bekomme immer Error auf meinem Display", kdsv
"mir wurden von einem Jahr gewisse  Entgegenkommen oder vor einigen Monaten ein gewisses Entgegenkommen versprochen in Bezug auf einen Umzug davon wusste ein Mitarbeiter hat gemeint das wär möglich die Mitarbeiterin vom Umzug sagt das sei auf gar keinen Fall möglich und das Gespräch einfach dann mittendrin beendet", kdsv
"mir wurden von einem Jahr gewisse  Entgegenkommen oder vor einigen Monaten ein gewisses Entgegenkommen versprochen in Bezug auf einen Umzug davon wusste ein Mitarbeiter hat gemeint das wär möglich die Mitarbeiterin vom Umzug sagt das sei auf gar keinen Fall möglich und das Gespräch einfach dann mittendrin beendet", untr
"normalerweise befind ich mich noch grad im Gespräch", untr
"ich wurde noch nicht vermittelt", knbr
"zwölf Tag ohne Internet immer die Auskunft es sei alles in Ordnung", kdsv
"leider ist das falsch verstanden worden ich war sehr gut zufrieden Dankeschön", noap
"bekam ja gar keine Berater ich habe Sie angewählt ich bekam keinen Berater", knbr
"ja  das das wollte nicht so ausführen und  wollte  weiß nicht  Verständnis haben was wollte ich und sofort ausgelegt", untr
"ich habe bei drei Anrufe bei Ihnen drei verschiedene Kündigungszeiten für meinen Vertrag  ja erhalten und habe daraufhin  ja den falschen Entschluss gefasst nämlich Sie jetzt hier zu verlassen und  ja bin aber mehrfach unterschiedlich beraten worden nicht zum ersten Mal zum wiederholten Male das macht mich sehr sauer", kdsv
"ich habe bei drei Anrufe bei Ihnen drei verschiedene Kündigungszeiten für meinen Vertrag  ja erhalten und habe daraufhin  ja den falschen Entschluss gefasst nämlich Sie jetzt hier zu verlassen und  ja bin aber mehrfach unterschiedlich beraten worden nicht zum ersten Mal zum wiederholten Male das macht mich sehr sauer", kmpt
"ich hab gestern bereits eine Störung gemeldet und keine Antwort bekommen und ich hab heute wieder eine Störung gemeldet bei mir kann keiner ins Internet und keiner telefonieren danke", kdsv
"dieser unhöfliche Mensch mit dem ich gerade telefoniert habe hat einfach aufgelegt  ohne mir meine  meine Frage zu beantworten meine Frage war die wann wird endlich unsere Störung behoben die seit dem ersten Oktober besteht danach hat er einfach aufgelegt vorher wurd ich von einer anderen Dame die hat gesagt einen Moment da muss ich mal gucken die scheinbar auch keine Ahnung hat einfach verbunden dann landete ich auf einmal bei diesem Herrn finde so was eine Unverschämtheit dass ich mit so was meine Zeit vergeuden muss und ich find eine Unverschämtheit dass unser DSL Anschluss jetzt seit dem ersten Oktober nicht mehr funktioniert", untr
"dieser unhöfliche Mensch mit dem ich gerade telefoniert habe hat einfach aufgelegt  ohne mir meine  meine Frage zu beantworten meine Frage war die wann wird endlich unsere Störung behoben die seit dem ersten Oktober besteht danach hat er einfach aufgelegt vorher wurd ich von einer anderen Dame die hat gesagt einen Moment da muss ich mal gucken die scheinbar auch keine Ahnung hat einfach verbunden dann landete ich auf einmal bei diesem Herrn finde so was eine Unverschämtheit dass ich mit so was meine Zeit vergeuden muss und ich find eine Unverschämtheit dass unser DSL Anschluss jetzt seit dem ersten Oktober nicht mehr funktioniert", kdsv
"das Gespräch wurde direkt beendet ich hatte meine Frage nicht so Ende gestellt und dann kam schon diese Durchsage und die Gespräche die ich davor geführt habe waren auch nicht so zufriedenstellend   da die Antwort nicht mit der tatsächlichen Sache übereinstimmt man kann mich nach wie vor nicht anrufen und man erklärt mir dass aber wär wieder in Ordnung ist aber leider nicht", untr
"das Gespräch wurde direkt beendet ich hatte meine Frage nicht so Ende gestellt und dann kam schon diese Durchsage und die Gespräche die ich davor geführt habe waren auch nicht so zufriedenstellend   da die Antwort nicht mit der tatsächlichen Sache übereinstimmt man kann mich nach wie vor nicht anrufen und man erklärt mir dass aber wär wieder in Ordnung ist aber leider nicht", kdsv
"diese jenige hat aufgelegt", untr
"unter einem kurzen Moment erwart ich auch ein kurzen Moment und nicht über zehn Minuten in einer Warteschleife aber allgemein bin ich mit dem Service der Telekom nicht zufrieden weil wenn man einfach   ISDN Anschluss gekappt bekommt und auch einmal analog bekommt ohne Rücksprache ist das unter aller Granate", noap
"ich habe mit niemand gesprochen kann daher auch das Gespräch nicht als gut bewerten möchte jetzt dringend mit einem Kundenberater sprechen", knbr
"seit  drei Monate warte ich  Zugang  Daten von  die Telefonnummer und die Internetzugang danke", kdsv
"die Beratung war außerordentlich freundlich und hilfsbereit und der Berater hat alles versucht nur wie die Telekom selbst reagiert die jetzt seit Wochen unseren Fall einer Sonder Kündigung hinauszögert das ist sehr unbefriedigend aber der Berater selbst hat sich sehr viel Mühe gegeben das war sehr positiv", kdsv
"ich habe eine Frage gehabt zu meinem Email Postfach Center und diese Frage konnte mir trotz   längerer Diskussion und auch eigenes Einsicht in das Postfach nicht beantwortet werden und auch nicht geholfen werden ich  der der Mann selber wusste auch keine Antwort und keine Lösung und das hat mich nicht zufrieden gestellt", kdsv
"ich habe eine Frage gehabt zu meinem Email Postfach Center und diese Frage konnte mir trotz   längerer Diskussion und auch eigenes Einsicht in das Postfach nicht beantwortet werden und auch nicht geholfen werden ich  der der Mann selber wusste auch keine Antwort und keine Lösung und das hat mich nicht zufrieden gestellt", kmpt
"hätte gerne Kundenberater", knbr
"ich habe mich auf eine Auftragsbestätigung bezogen die ich nicht gegeben habe das hab ich versucht dieser Frau  partout durchziehen und als ich darum bat mich mit einem Vorgesetzten zu verbinden hat die frech aufgelegt das ist f unmöglich das ist ja so wie die Telekom überall bekannt ist das ist eine Schweinerei", kdsv
"ich habe mich auf eine Auftragsbestätigung bezogen die ich nicht gegeben habe das hab ich versucht dieser Frau  partout durchziehen und als ich darum bat mich mit einem Vorgesetzten zu verbinden hat die frech aufgelegt das ist f unmöglich das ist ja so wie die Telekom überall bekannt ist das ist eine Schweinerei", untr
"die Verbindung wurde einfach unterbrochen und ich wurde jetzt zu diesem Frage Antwort Quiz durchgestellt meine Antwort die ich  mein Frage die hatte wurde noch nicht beantwortet ich hatte eine technische Frage und ich komm deswegen hier nicht", knbr
"ich bin nicht verbunden worden ich hab jetzt zum  und ich  krieg absolut keine Rückmeldung ich werde immer wieder vertröstet", knbr
"ich bin nicht verbunden worden ich hab jetzt zum  und ich  krieg absolut keine Rückmeldung ich werde immer wieder vertröstet", kmpt
"ich bin mehrere Male unterbrochen worden und muss plötzlich Fragen beantworten obwohl meine Sache noch überhaupt nichts geregelt ist deswegen bin ich Stock sauer so", untr
"lange Wartezeit", kmpt
"wenn ich ein Service Anruf habe und gar nicht durchgestellt werd zu einem Berater kann ich damit nicht zufrieden sein", knbr
"seit zwei Monaten hör ich nur die Worte und Versprechungen und neue Termine  seit zwei Monaten also seit zwei Monaten  habe ich kein Anschluss Telefonanschluss und Internetanschluss und bekomm ich nur neue Termine und nur Worte mit Termin weiß ich nicht warten warten warten warten einfach unglaubliche Geschichte das ist ja nicht zu fassen dass das so was in Deutschland möglich ist  danke", kdsv
"seit zwei Monaten hör ich nur die Worte und Versprechungen und neue Termine  seit zwei Monaten also seit zwei Monaten  habe ich kein Anschluss Telefonanschluss und Internetanschluss und bekomm ich nur neue Termine und nur Worte mit Termin weiß ich nicht warten warten warten warten einfach unglaubliche Geschichte das ist ja nicht zu fassen dass das so was in Deutschland möglich ist  danke", kmpt
"alle fachlich inkompetent bei allen meinen Anrufen", kmpt
"ich bin nicht aufgeklärt worden dass ich bei der Tele2 mit  oder von Ihnen ja", kdsv
"ich kam  ich kam nicht zu dem Ergebnis was ich mir erhofft hatte", noap
"patzige Antworten ohne eine Lösungsansatz des Problemes unqualifiziert nicht verbinden werden also alles was einen Dienstleitungsunternehmen machen muss wird hier nicht gemacht eine Katastrophe", kmpt
"ich habe überhaupt kein Kundenberater an der  dauert redet die Computer aber kein Kundenberater ich wünsche ein Kundenberater bitte ich weiß gar nicht was das ganze Theater mit mit dieser Abfragerei soll das darf doch nicht war sein Ende Ende der Nachrichten", knbr
"na ja es  nur verbinden und danach kommt nichts mehr da draus seit einer Woche", kdsv
"es hat definitiv nicht die Klärung stattgefunden und  mir wurde mir wurde es gesagt es wird Rücksprache gehalten und man hat mich nicht wieder zurückgeholt um mich zu informieren find ich sehr schade", untr
"ich sollte verbindet werden man hat mich raus dem Leitung geworfen und heute hab ich eine Termin gehabt die man bis jetzt seit drei vier Stunden nicht erschienen ist", knbr
"ich sollte verbindet werden man hat mich raus dem Leitung geworfen und heute hab ich eine Termin gehabt die man bis jetzt seit drei vier Stunden nicht erschienen ist", kdsv
"Mitarbeiter hat einfach das Gespräch beendet", untr
"eigentlich war nur grad auflegen verbinden wurd  Reinfall wenn ich  was mit der Telekom ein Vertrag mündlich am Telefon abschließe denselben auch mündlich kündigen können Amen", kdsv
"der Berater hat ja einfach aufgelegt", untr
"bin mit überhaupt ich bin mit überhaupt keinem Mitarbeiter verbunden worden ich hab mit niemanden gesprochen ich bin sehr verärgert", knbr
"ich habe mich überreden lassen zu diesem Informations Service und habe das zweimal telefonisch widerrufen und hab um eine schriftliche Bestätigung gebeten und das ist nicht möglich  eine schriftliche Bestätigung dafür zu bekommen und das ist äußerst ärgerlich", kdsv
"die die Dame hat mir frech den Hörer aufgelegt", untr
"dass ich grad mitten im Gespräch bin seit   seit einer Woche auf mein Modem warte und plötzlich hier in dieser komischen Befragung bin das ist kein Service", kdsv
"dass ich grad mitten im Gespräch bin seit   seit einer Woche auf mein Modem warte und plötzlich hier in dieser komischen Befragung bin das ist kein Service", untr
"ich möchte gerne mit dem Mitarbeiter wieder sprechen den ich gerade am Apparat hatte", untr
"ich habe keine richtige Auskunft bekommen weil ich möchte eine Telefonrechnung und das kann nicht sein dass ich für eine selbstverständliche Leistung bezahlen soll und das möchte ich dass das geändert wird", kdsv
"der Anschluss klappt nicht die Telekom ist nicht fähig hier einen Anschluss neu zu installieren obwohl der Auftrag schon etliche Wochen jetzt alt ist und die nette Dame am Telefon hat mir einfach den Hörer aufgelegt oder das Gespräch beendet", kdsv
"der Anschluss klappt nicht die Telekom ist nicht fähig hier einen Anschluss neu zu installieren obwohl der Auftrag schon etliche Wochen jetzt alt ist und die nette Dame am Telefon hat mir einfach den Hörer aufgelegt oder das Gespräch beendet", untr
"es kann nicht sein dass wenn ich etwas nachfrage ohne Kundennummer dass man das Gespräch einfach beendet und mir keine Möglichkeit gibt   mit dem Service Techniker zu sprechen", untr
"ich hätte erwartet dass das Problem das ich habe mit der Rechnung auch entsprechend gelöst werden kann eine Lösung dieses Problems so wie erwartet hat nicht stattgefunden", kdsv
"es hat ein gutes Gespräch mit mir geführt das war in Ordnung aber am Schluss mir zu sagen mit Schwaben kann er nicht das find ich eine Unverschämtheit", kmpt
"meine Anfrage wurde nicht bearbeitet ich wurde einfach geleitet", knbr
"ich hätte generell mal einen Mitarbeiter an der Leitung gehabt und wäre nicht  nach zehn Minuten Warten aus der Leitung geschmissen worden", knbr
"ich warte seit drei Wochen auf meinen Anschluss und Ihre Telefon Mitarbeiter haben mich nach dem fünften Anruf leider schon wieder aus der Leitung gekickt und ich muss mit einer Telefon Stimme telefonieren", kdsv
"ich warte seit drei Wochen auf meinen Anschluss und Ihre Telefon Mitarbeiter haben mich nach dem fünften Anruf leider schon wieder aus der Leitung gekickt und ich muss mit einer Telefon Stimme telefonieren", untr
"ich wollte Auskunft haben über das neue  Handy was Sie mir angeboten haben der Kollege konnte mir keine Auskunft geben weil er angeblich nicht in sein Computer", kdsv
"wurde beendet bevor ich fertig war", untr
"das habe ich dem Herrn schon erzählt der mich  mit dem ich gesprochen habe", noap
"also ich wollte wissen wie viel die  Nummer kostet vom Handy dann hat er gesagt eine Sekunde bitte und hat aufgelegt ja ohne ohne dass ich jetzt weiß wie viel das kostet", kdsv
"also ich wollte wissen wie viel die  Nummer kostet vom Handy dann hat er gesagt eine Sekunde bitte und hat aufgelegt ja ohne ohne dass ich jetzt weiß wie viel das kostet", untr
"ich konnte gar nicht meine Beschwerde erklären der hat  also einfach aufgelegt der Kundenservice", untr
"der lange Zeit", kmpt
"Gegenargumentation des Kunden wird einfach weggedrückt und hat man kein kein keine Argumente vorzubringen wenn der Kunde sich beschwert", untr
"der Service komplett", noap
"der Anschluss ist die größte Scheiße und das ist die größte Abzocke die es gibt", noap
"erstens es hat ewig gedauert bis ich endlich eine Person gefunden hab vom Servicecenter und die war sehr unfreundlich und die heißt Frau  ich war gar nicht da  es kann doch nicht sein dass Ihre Gesellschaft mir was", kmpt
"erstens es hat ewig gedauert bis ich endlich eine Person gefunden hab vom Servicecenter und die war sehr unfreundlich und die heißt Frau  ich war gar nicht da  es kann doch nicht sein dass Ihre Gesellschaft mir was", untr
"erstens es hat ewig gedauert bis ich endlich eine Person gefunden hab vom Servicecenter und die war sehr unfreundlich und die heißt Frau  ich war gar nicht da  es kann doch nicht sein dass Ihre Gesellschaft mir was", kdsv
"seit vierzehnten siebten null neun hab ich eine Umstellung auf ein anderen Tarif beantragt schriftlich im T-Punkt bis heute ist dieser Vertrag noch nicht umgestellt der Service bei der Telekom ist eine Katastrophe ich werde auch den Vorstand informieren", kdsv
"seit vierzehnten siebten null neun hab ich eine Umstellung auf ein anderen Tarif beantragt schriftlich im T-Punkt bis heute ist dieser Vertrag noch nicht umgestellt der Service bei der Telekom ist eine Katastrophe ich werde auch den Vorstand informieren", kmpt
"kann mich keiner erklären warum so was passiert ist", noap
"dass mir bei meinem Problem nicht geholfen wird mich mal", untr
"dass mir bei meinem Problem nicht geholfen wird mich mal", kdsv
"Termineinhaltung Ihrer Techniker find ich nicht in Ordnung man wird hingehalten es passiert nicht das was gesagt wird und so  und so  ich könnte noch ganz viel aufführen ich bin einfach unzufrieden sauer und frustriert von der Telekom zur Zeit kein Bock", kdsv
"hallo hallo", noap
"der Berater hat mich aus der Leitung geworfen ich hab gar keine Info erhalten", untr
"es kam keinerlei Antwort auf mein Problem es war nur Stille zu hören", knbr
"bei Ihnen ich habe bei Ihnen zum sieben und zwanzigsten siebten einen Vertrag abgeschlossen über Call_and_surf basic und mir wurden einmal temporäre Internetdateien geschickt die nach acht Wochen verfielen und jetzt wart ich schon wieder einige Wochen auf einen neuen auf neue Zugangsdateien das ist unglaublich ich war bisher sechs bis sieben Mal im Telekom Shop hab auch ein paar Mal die Hotline angerufen und nichts tut sich ich bin äußerst unzufrieden und allmählich genervt danke", kdsv
"Mitarbeiter war nicht einsichtig er sagt mir es wär ganz normal oder super eine Wartezeit auf ein Telefonpartner bei", kmpt
