@relation tinkaEmo
@attribute text string
@attribute class {neutral,worry,angry,happy}

@Data
'hallo. kann ich jederzeit in einen teueren tarif wechseln. lg',neutral
'guten tag ist es richt wenn ich den tarif turbo wähle und dazu das {potentielle_id} gb dann zahle ich die nächsten 24 monate knapp unter 60--',neutral
'onlineshop tarif ohne handy',neutral
'wo sind meine freieinheiten??',neutral
'gibt ea beim internet fürs zuhause auch eine testaktion?',neutral
'downloadlimit entsproicht nicht dem vertrag',neutral
'hallo ich hatte das smartplus paket ich soll bis {potentielle_id} g',neutral
'suche für meine freundin einen vertrag ohne internet',neutral
'ich brauche fürs handy travel and surfen?',neutral
'"was bedeutet bei den tarifen ""cut-off"" internet?"',neutral
'gibt es einen kombitarif internet und smartphone',neutral
'hallo! beim tarif my mobile light ist da unlimitiertes telefonieren ins gleiche netz gemeint? wenn nicht wieviel w7rden die',neutral
'gibt es auch einen internet zugang von t-mobile bei dem man keine 24-monat bindung hat?',neutral
'my homenet unlimited wenn ich es unterwegs nutze  zb . ich fahr ein wochenede nach wien und nutes es fallen zusätzliche kosten an?',neutral
'gibt es diesen tarif auch im geschaft',neutral
'gibt es ein tarif mit 100 minuten ausland ?',neutral
'Haha das ist gut ich rufe an Mann sagt immer wider um.IR Guthaben augzuladen Mann erwent nie etwas für den borest Tarif geben sie eine Nummer ich dachte sie sind mit telering zusamen',angry
'Tarif ohne Handy Sie hat schon eines',neutral
'ich frage nur vorab bevor ich mir den Tarif besorge',neutral
'welche tarife soll ich jetzt nehmen?',neutral
'"beim durchrechnen ist mir aufgefallen das mich der ""extreme"" Tarif fast gleich soviel kosten würde"',neutral
'Ich besitze ein Internet Home zugang im Tarif My HomeNet Light i {Potentielle_ID}.',neutral
'Ich möchte gern wissen ob der Tarif S um 10 € dann unbefristet gilt.',neutral
'ich suche einen kombitarif mit internet zur erweiterung meines bisherigen handytarifs. ist eine kombination von beidem überhaupt möglich? oder muss ich getrennt also eine eigene sim-karte bzw. ein eigenes internet-vertrag abschließen?',neutral
'ja ich weiß und ich habe so einen all Inclusive youngstar {Potentielle_ID} tarif und den hab ich ganz kurz vor meinem 27. geb. extra noch auf 2 jahre verlängert',neutral
'Hallo  gibts nen Wertkartentarif von T-Mobile mit LTE ?',neutral
'mich spricht der neue tarif mit 9 gb auch an und ich würde die selbe grundgebühr zahlen',neutral
'ist es möglich von meinem aktuelen tarif auf den entsprechenden tarif umzusteigen ? aktuell bin ich ab 60GB gedrosselt',neutral
'ich möchte meinen Vertrag verlängern aber sehe hier wenn ich meinen tarif ändere kostet es 49€.',worry
'ja das geht nicht mehr da es mir gesperrt wurde. und jetzt steht bei mir das ich Klax habe',neutral
'ist es so dass man bei euch kein tarif wechseln kann innerhalb von zwei jahren?',neutral
'ich möchte das volumen bestellen',neutral
'eben. sprich wenn ich wie gesagt 20tage dort bin brauche ich dieses paket 3 mal',neutral
'tarif {Potentielle_ID} odert gibt es einen unlim.tel und sms',neutral
'and also she said the tariff change fees would be waived',neutral
'Sollte ich mit dem Paket nicht zufrieden sein d.{Name} wenn es zu wenig ist kann ich mein Paket wieder tauschen?',worry
'My T-Mobile Turbo i für {Potentielle_ID}',neutral
'De Facto gäbe es ja dann keinen Grund warum ich als bestehender Kunde den Tarif L wählen sollte. Ich hätte dadurch ja nur einen finanziellen Nachteil!',angry
'Meine Tochter fragt mich was der Unterschied ist zwischen voller  und Tarif M? Außer den min und dem Datenvolumen?',neutral
'ich habe soeben einen „Volume Recharger“ bestellt.',neutral
'iach habe noch den 15euro tarif den es zum start gegeben hat',neutral
'es handelt sich hierbei um einen Allianz Tarif',neutral
'ich brauche einen tarif nur zum telefonieren und länger gültig als 1 monat',neutral
'Sie bieten ja auf der Webseite den Tarif S (ohne Bindung) an für 10 € / Monat',neutral
'Telefonie werden mir die 200 Minuten wohl reichen da brauche ich nichts.',neutral
'Ich denke den Tarif könnte ich nehmen.',neutral
'Wann kann ich jetzt mit LTE rechnen?',neutral
'welche angebote! den Tarif kann ich behalten oder?',angry
'Okay das würde bedeuten dass meine Flamingos mit Umstieg auf einen neuen Tarif erlöschen?',neutral
'ich bin noch am überlegen ob es sich für mich auszahlt auf den turbo umzusteigen. ich werde dann morgen mal im shop anrufen',neutral
'weil ich habe immer nur {Potentielle_ID} und dann reicht ja der 50er tarif volkommen aus',neutral
'könnte ich in der verlängerten Zeit auf einen anderen LTE.Tarif wechselnfallls ich mit der Geschwindigekeit nicht auskomme etc?',neutral
'Zz 40 gb unlimitiert und {Potentielle_ID}',neutral
'"Hallo  Ich bin T- Mobil Kunde mit dem Tarif ""MY HomeNet Turbo i"" mit 60GB Datenvolumen im Monat. Komme leider mit dem Datenvolumen nicht durch und wollte fragen ob es möglich ist auf den nächst höheren Tarif umzusteigen?"',neutral
'"Mein derzeitiger Tarif heitßt ""Großer Basta"". Ist am {Potentielle_ID} ausgelaufen und ich hätte gerne einen Tarif mit mehr Internet ...."',neutral
'hallo habe gestern meinen tarif geändert von ätsch auf tarif s. wann wird das aktiv',neutral
'Kombi Handy festnetz und Festnetz internet',neutral
'Wie viele Daten im Ausland sind da dabei?',neutral
'Der Tarif um 10€ hört sich gut an',neutral
'ok würde das auch nichts bringen wenn man nicht my home net LIGHT nimmt sondern eine stufe besser?',neutral
'welcher tarifwechsel???',worry
'kann ich unter der vertragslaufzeit meinen tarif wechseln',neutral
'habe umts für den laptop und heute 2 vertraege für neues smartphone abgeschlossen.dafür bräuchte ich wlan-umstellung unlimited (wie umts) -',neutral
'im zuge dieses wechsels der 2. nr. an {name} sollte auch der tarif auf den mittleren geändert werden plus ein iphone 5se gekauft',neutral
'hallo ich habe eine frage zum my homenet unlimited light tarif',neutral
'was kostet ein tripl sim startpaket',neutral
'ich möchte einen neuen tarif light um {potentielle_id} ohne handy',neutral
'Das heisst ich kann im Monat 40GB nutzen. Nun haben Sie den neuen Tarif My Homenet Unlimited Light zu {Potentielle_ID}',angry
'"ok ich hoffe den Techniker der mir das dann macht bekomme ich mitgeliefert.. ;) noch eine frage die LTE Technik vom Huawei .... braucht man da einen speziellen Tarif dazu oder geht das auch mit meinem uralten {Potentielle_ID} Tarif um 13.-"',neutral
'dann würde das Handy doch in Summe teurer kommen als wenn ich im bestehenden Tarif bleibe!',neutral
'wenn ich jetzt online bestell... ab wann hab ich dann den tarif?',neutral
'Und wieso kostet der Tarif Mini pur 12 LTE nicht 10 € sonder 12?',neutral
'Nur bei einem billigeren Tarif. Loyal ist nicht egal ist ja dann wohl auch nicht ganz {Name} gemeint.',angry
'ich benötige mobiles internet für den laptop ohne vertrags bindung werde es nur für einen monat benötigen bester tarif?',neutral
'ich möchte den handy tarif suoperklax lte',neutral
'was ist der billigste tarif',neutral
'ich suche einen günstigen mobilfunkvertrag mit günstigen tarifen internetflat und gespräche nach deutschland incl. roming in deutschland.',neutral
'was sind die grundvoraussetzungen damit ich einen business tarif haben kann?',neutral
'gibt es einen vertrag wo ein samsung galaxy s7 edge dabei ist',neutral
'Gibt es auch einen Tarif mit unlimittiert Datenvolumen?',neutral
'kannst du mir sagen ob die sim only tarife automatisch mit lte internet sind?',neutral
'hallo und zwar habe ich eine frage zu meinem tarif?',neutral
'"bei dem tarif ""extrem"" - wenn die 200 minuten in die eu verbraucht sind wieviel zahle ich dann pro minute?"',neutral
'welcher ist der günstigste tarif ohne handy?',neutral
'gibt es die internet tarife auch ohne router',neutral
'warum kannich meinen tarif hit international bei vertragsverlängerung nicht ändern',neutral
'gibt es diesen tarif für deutschland',neutral
'wie billig ist der billigste handytarif',neutral
'eine frage zum tarif my mobile light: ist es richtig dass nach verbrauch der 2 gb das datenvolumen abgedreht wird?',worry
'tarif mit deutschem netz',neutral
'Ok so etwas dachte ich mir irgendwie schon. Ich dachte nur ich frag mal nach da es nur so wenige Tarife mit Bindung bei T-mobile gibt. Aber ich bedanke mich für die Information und werde mich weiter umsehen!',neutral
'Hallo ich interessiere mich für einen internettarif zurzeit habe ich einen einen 3 WebCube und suche halt wieder soetwas in der art',neutral
'Dann gibt es den Tarif nicht mehr?',neutral
'Ich habe Fragen für eine Bekannte!Ich war heute in Sillpark in Innsbruck im Shop! Ich benötige einen günstigen Tarif ohne Händy es gibt dzt. den 10 Euro Tarif  gibt es den gleichen Tarif mit {Potentielle_ID} min{Potentielle_ID} SMS uns 3 GB nicht mehr?',neutral
'Einen gemeinschaftstarif für mind. zwei handys für meine frau und mich',neutral
'Jetzt haben sich die Tarife aber ziemlich verändert',angry
'Hallo möchte meinen Tarif für {Telefonnummer} auf den Aktionstarif ohne Bindung L ändern. Wieso erhalte ich die Ermässigung von 50 % auf € 15 nicht?',worry
'gehts nicht billiger ohne internet',angry
'habe ich geschrieben und es stehet nur fur die drei Tariffe:',neutral
'Gibt es bei den Tarifen eine jährliche Servicepauschale ?',neutral
'können sie mir das internet sperren',worry
'also ich habe die Sms bekommen das ich ein MB Paket schon habe',neutral
'Da würde ich das Roamingpaket nehmen für ein Monat um 799 .',neutral
'"hallo tinka eine frage ich hab noch den tarif ""incl. youngstar i {potentielle_id} "". wird das auch auf lte umgestellt sofern man ein lte-fähiges hat"',neutral
'was kostet ein tarifumstieg',neutral
'beim tarifwechseln mehr gebühren?',neutral
'"ich möchte von ""surf zuhause lte i 09/15"" auf  my homenet unlimited light umsteigen - geht das nahtlos?"',neutral
'möchte in business tarif wechseln',neutral
'ich habe tmobile fest internet und jetzt denke vielleicht zu wechseln auch my handy nummer. ist es moglich ein sonderangebot zu bekommen?',neutral
'ich habe eine homenet-box für limitierten internetzugang um mzl. 1990 eur. ist es möglich auf unlimitierten tarif umzusteigen?',neutral
'bin kunde. für zweites telefon tarif ändern',neutral
'hi ich möchte meinen tarif wechseln',neutral
'hallo habe das megaklax lte startpaket gekauft wollte aber den tarif mit 20euro sie hat gesagt das ich das umstellen kann funktioniert nicht',neutral
'ich habe momentan a1 tv und internet. möchte aber zu ihren homenet extrem box wechseln. meine frage ist kann man das a1 tv media bo',neutral
'warun soll ich zahlen wien tarife wechsell wollte und en ich in andere firma gehen nicht??? ist besser dass ich zum a1 wechsell',angry
'ist ein tarifwechsel ohne vertragsverlängerung möglich?',neutral
'ich hätte nur eine frage und zwar würde ich gerne zu dem Tarif mit 50GB wechseln',neutral
'gibt es keine Möglichkeit z.Bsp den Tarif zu wechseln - gibt jetzt ein super günstiges Klaxangebot',neutral
'dann bleibe ich bei meinem bestandstarif...der wechsel würde sich frühestens nach 15 monaten rentieren...dann warte ich auf einen neuen tarif...trotzdem danke',neutral
'Wenn ich das tue steht aber 20 statt 10 Euro. Sie verlangen fast 40 Euro für einen tarifwechsel obwohl man jahrelang bei telering ist???',angry
'Und Tarif wechseln kostet a nix zur zeit',neutral
'Meine Frage: wenn ich jetzt nur einen Tarifwechsel durchführe verlängert sich dann mein Vertrag automatisch?',neutral
'entstehen noch irgendwelche kosten außer der 240',neutral
'okey und falls ich es online bestelle kommen die aktivierungsgebühren trotzdem drauf da mehrere anbieten sie weg fallen lassen wenn man online bestellt',neutral
'Was kostet mir dann das Handy selber',neutral
'was genau wird hier mit hardwarefinanzierung gemeint',neutral
'Danke nein inzwischen nicht mehr - Tarife Handypreis etc. sehe ich ja auf der Homepage. Doch noch eine kurze Frage: Aktivierung ist online kostenlos ?',angry
'wenn ich im shop kaufe gibts Aktivierungskosten ?',neutral
'"wie ist das mit den ""Anmeldegebühren""? pro SIM karte {Potentielle_ID} EUR? also 100 Euro damit ich die 2 verträge habe? und kostet mir beim HomeNET dieser ""Cube - Würfel"" extra?"',neutral
'wie viel kostet videotelefonie bei t-mobile',neutral
'was kostet eine sms von kroation nach österreich?',neutral
'wieviel kostet eine nanosimkarte?',neutral
'wieviel kostet so eine karte wenn ich sie bestelle?',neutral
'How much cost T-Mobile SIM in Austria?',neutral
'achso und wenn ich auflade und die Karte leider nicht mehr gultig waere wird das erstattet? Wenn ja wie?',neutral
'wie viel hab ich noch offen',worry
'aktuelle verbindungen von gestern',neutral
'ich brauch den billigsten wertkartentarif',neutral
'gibt es eine wertkarte mit mobilen daten europaweit?',neutral
'unterschied wertkarte und vertrag',neutral
'ich habe aber eine wertkarte und keinen vertrag',neutral
'hatte jedoch keinen angestrebt nur meine wertkarte aufgeladen.',neutral
'auf wertkarte wechseln?',neutral
'ich brauche eine simkart mit wertkarte gut haben und tarif ist 500 min +{potentielle_id} gb internet',neutral
'Ich habe nur Wertkarte...kein Vertrag',neutral
'ich habe auch eine wertkarte',neutral
'Ich habe eine Problem mit einem Wertkartenhandy (Emporia Elegance) - ich habe die KLAX Wertkarte eingelegt und das Handy findet nicht den Netzbetreiber - Tel.: {Telefonnummer} - wie soll ich vorgehen?',neutral
'es geht in meinem fall um eine fehlüberweisung',worry
'ja aber die anzahlung ist dort nicht zu finden !?',angry
'ok dh ich kann unter Mein Konto einfach die Bankverbindung auf das neue Konto ändern?',neutral
'Ich hätte eine Frage zu der EPS-Zahlungsweise. Ich habe es inzwischen 5x probiert meine Teilzahlungen durch Drücken auf den Bezahlen Button zu begleichen allerdings passiert danach nichts weiter als dass sich ein pinkes Laderädchen dreht. Es öffnet sich leider nicht das Feld zum eingeben der Zahlungsdaten so dass es mir nicht möglich ist die Rechnungen zu begleichen.',neutral
'Bei mir funktioniert nicht {Potentielle_ID}. Ich kann nicht mein handy aufladen. Mein Aufladebon ist ungültig. Was kann ich jetzt machen? Fg: Gina',angry
'wie lade ich meine weltkarte online auf?',neutral
'Ich habe gerade mein Handy mit 15 Euro aufgeladen weil für Megakl*****euro',neutral
'1. wertkartenstatus & aufladen',neutral
'hallo siet tagen versuche ich mein handy online aufladen mit flamingopunkten',angry
'internet aufladen mit wertkarte',neutral
'die karte für 20 euro surfklax aufladen  aber es war paket 10gb erneuert  warum ?? ausgangskarte für 15 € gekauft',neutral
'wenn ich ihnen den code sende können sie mir meine sim laden?',neutral
'hi tinka ich habe einen ladebon für surfklax gekauft man kann ihn aber weder per sms noch im internet aufladen. warum?',neutral
'Any small recharge that I can do?',neutral
'einzelgesprächsnachweis für tarif zone 2',neutral
'können sie mal schauen ob ich auf mein karte geschänk guthaben habe?',neutral
'Jetzt muss ich feststellen das kein Guthaben vorhanden ist',neutral
'wie lange is meine szrfklax wertkarte mit der {potentielle_id} noch gueltig',neutral
'wann sollte ich am besten guthaben aufladen',neutral
'wie kann ich sehe wieviel noch auf meine klax karte ist',neutral
'wertkarten guthaben anzeigen.',neutral
'guthaben wird nicht angezeigt',neutral
'nein guthaben das ich aufgebucht hatte frei schalten 10gb für 15 euro',neutral
'"ICH HABE HEUTE 15 EURO AUFGELADEN UND ES IST EINE SMS GEKOMMEN DAS ICH 14;42 GUTHABEN HABE"',angry
'hallo wo kann ich im web mein datenguthaben abfragen klax wertkarte',neutral
'wie kann ich das guthaben meiner klaxkarte abfragen.',neutral
'wich kama guthabe apragen',neutral
'dafür brauch ich nur die Iban von Tmobile',neutral
'ich habe 10 € aufgeladen und warte schon seit 3 stunden auf die freiemunute',worry
'wie lange muss ich warten wen ich mein klax guthaben aufgeladen habe das ich eine nachricht bekomme',neutral
'ich muss heute mein guthaben aufladen und habe bis jez noch nicht die sms bekommen',worry
'klax guthaben mit kreditkarte aus ausland aufladen?',neutral
'wertkarte aufladen mit kreditkarte',neutral
'und heute wieder um 15aufladen...',neutral
'jetzt möchte ich es gerne aufladen ohne ein handy zu haben. ich kann das nämlich nur per Tastatur direkt oder per serviceline',neutral
'Ok...er hat seinen Führerschein und es wird abgebucht von meinem Konto.',neutral
'ich sehe nicht wodurch gebühren angefallen sind',neutral
'kontaktformular-rechnung-rechnungseinspruch',worry
'hallo tinka! meine kundennummer lautet {potentielle_id}. können sie mir auskunft zu meinem aktuellen t-mobiel kontostand sagen?',neutral
'einzug erst im juli',neutral
'wie viel koste der tarif',neutral
'klax guthaben übertragen auf andere wertkarte',neutral
'telefon ist gesperrt habe am 17.2.2016 die rechnung bezahlt wie lange dauert die freischaltung der rufnummer?',neutral
'hallo welche downloads bzw. abos 4x 15-- sind da auf einmal auf meiner rechnung ??was ist das ?? lg',angry
'wieso ist meine home net rechnung zuhoch',worry
'woher kommen die kosten?',worry
'ich habe meine wertkarte gespert',neutral
'wie kann ich die bankverbingund ändern?',neutral
'ich habe eine wertkarte',neutral
'fallen im shop aktivierungskosten für die homenetbox an?',neutral
'hallo warum zahl ich für den tarif my mobile turbo gleich viel wie wenn ich ihn mit oder ohen handy neheme',neutral
'geld weg! warum?',angry
'Danke d.h. ich muss jetzt jeweils einen einzelnen Bestellvorgang von Anfang bis Ende durchgehen - korrekt?',neutral
'da dies ein Firmenhandy ist und ich sehr viel mit meinem Lieferanten In DE telefoniere sind die 50 mInuten + 0.99 € pro Minute zu teuer!',angry
'und gegen die andere Rechnung auch',neutral
'Es sind 20 Euro drauf',neutral
'Warum steht dann Guthaben {Potentielle_ID}?',neutral
'ich habe ein Rechnung Überweissen 15.April',neutral
'auf wieviel kommt das dann pro monat?',neutral
'Da die Fa. telering nicht anders zur erreichen ist stelle ich meine Frage hier warum kann ich meine Rechnungen auf ihrer Homepage nicht öffnen',angry
'I have a 15 euro pre paid paln. I have had this problem three time now. I didnt know I had to wait two hour until i get all the five messages.',angry
'da ist mir gesagt worden das ich 470 bezahlen müsst mit dem selben tarif',neutral
'Ich habe letzte Woche im T-Mobile Shop Vösendorf mein Iphone zur Reparatur gebracht heute kam die SMS dass ein Kostenvoranschlag gestellt wurde! Habe bei meinem Kauf damals eine Versicherung abgeschlossen. Wieso muss ich jetzt etwas zahlen?',neutral
'wieviel guthaben habe ich bei internet {telefonnummer}',neutral
'ich benötige die bankdaten von t-mobile',neutral
'hallo - ich möchte nicht die aktuellen verbindungen sehen sondern die rechnung vom juli',neutral
'was ist eine teilnahmerechnung',neutral
'wieso ist meine rechnung höher als gedacht?',neutral
'ich bin schockiert wegen den hohen rechnungsbeträgen in den letzten monaten. ist es möglich auf einen passenden paketpreis umzusteigen?',worry
'ich beziehe mich auf geldüberweisungen . aber das konto menge des service in anspruch genommen. so jetzt haben sie zweimal im selben monat',angry
'möchte gerne wissen was meine letzte rechnung ausmacht',neutral
'und letzte rechnung kommt wieder {potentielle_id} stadt 3999€ warum???',angry
'was soll ich bei der lieferung bezahlen',neutral
'wo kann ich meine rechnung sehen',neutral
'rechnr {potentielle_id} wie komme ich zu dem angegebenn guthaben?',neutral
'warum wurde mir am 9.aug. € 20- als rückläufer von meinem konto abgezogen??? meine rechnungen wurden pünktlich bezahlt!!!!',angry
'wenn ich jetzt weitersurfen will obwohl sich das internet verlangsamt wurde muss ich etwas dafür zusätzlich bezahlen?',worry
'bekomme ich auch den online bonus von euro 20',neutral
'also keine extra kosten?',worry
'wie kann ich ohne zahlschein meine rechnung zahlen',neutral
'ich habe einen frage für letzte rechnung?',neutral
'ich benötige eine neue rechnungsanschrift',neutral
'ein abo hat sich inder rechnung einggschlichen das ich sofort gekündigt habe',angry
'ich möchte die rechnungsadresse ändern weiß aber das kundenkennwort nicht mehr..',neutral
'ich kann meine rechnung nicht ansehen !',angry
'ich habe mein rechnung bezahlt trotzdem handy abgedreht',worry
'wenn mein rechnung fallig',neutral
'neuanmeldung s7 edge preis?',neutral
'was ist wenn mein datenvolumen verbraucht ist zahle ich dann fr internet',worry
'freieinheiten im und ins ausand',neutral
'hae am 04.08.2016 80euro einbezahlt und jetzt kommt schon wieder die mahnunh',angry
'whay i get for april may bill fur 45ewhen is may conkract is 20e per monath',worry
'ich habe nix telefoniert nix warum muss ich {potentielle_id} zahlreiche ob wollte alles bezüglich ist',angry
'ich habe grade mein guthaben aufgeladen wan erhalte ich meine freiminuten',worry
'Kann man die Aufhebung der Sperre nicht beschleunigen wenn ich Ihnen die Überweisungsbescheinung zukommen {Name}?',neutral
'Und wie mache ich dass mit dem dass mich und gut haben verbrauche wenn ichntelefoniere?',neutral
'ich habe das geld für das iphone jedoch schon überwiesen aber bis jetzt hab ich es noch nicht auf meinem konto zurück',worry
'hallo  mein Name ist  Arzu {Telefonnummer} . Dürfte ich bitte erfahren was da für noch ein Betrag offen ist ??? habe erst vor kurzem noch gefragt was genau offen ist und habe dann genau das eingezahlt was mir hier über diesen chatt gesagt wurde.',angry
'Warum ist mein Klaxmax {Telefonnummer} nicht mehr aktiv?',worry
'Wo bekomme ich eine genaue Zahlungsaufstellung ab Mai welche Überweisung für was hergenommen wurde?',neutral
'ok mit {Potentielle_ID} würde das dann passen! war letzter zeit so oder so immer über den 39 Euro',neutral
'Ich wollte fragen ob die Handytarife von gestern auf heute teurer geworden sind...aber das Rätsel hat sich nun gelöst..bei euch sind die Tarife Sim only teurer',angry
'Also den offenen Betrag von 65 Euro brauche ich nicht mehr überweisen ?',neutral
'Nein Danke fuer Ihre Hilfe warten wir bis die Abbuchung',neutral
'Alles zusammen um 5 Euro?',neutral
'wie kann ich das bezahlen ?',neutral
'"Nochmal urgiert per Mail und es Hiess bitte warten. Gestern gehe ich in den Shop und erfahre das es zu spät war und gar nicht möglich gewesen wäre. Ich muss die Nummer reaktivieren und 20"" Euro zahlen!!!"',angry
'Ich wundere mich gerade über meine Telefonabrechnung. Die Gespräche mit Europa und USA kommen mir sehr merkwürdig vor ist es möglich einen Einzelnachweis zu erhalten. Ich habe niemanden in den USA angerufen.',worry
'guten tag ich verstehe nicht meine tel Rechnung warum 100 eu wenn {Potentielle_ID} meine Rechnung 20 internet und einmalige gebühren {Potentielle_ID} warum 100 eu ist',angry
'Hallo ?? mein Name ist  meine Rufnummer wurde gesperrt und ich wollte wissen warum? Ich habe keine Rechnung auf die neue Adresse erhalten ?!',worry
'Ich habe vor kurzem alles beglichen und bekomme nun eine E-Mail mit einer irrsinnigen handy Rechnung.',angry
'Ich würde meine Rechnungen aus dem Jahr {Potentielle_ID} benötigen.',neutral
'ich bin im account und wenn ich auf onlinerechung als pdf klicke kommt die letze rechnung aber vom november nicht dezember',neutral
'Von mir aus bezahl ich halt diesen Einen Monat in vorhinen.',angry
'Und zwar ihr konntet die Rechnung von meinem Konto nicht abbuchen da gab es einige Probleme jetzt wollte ich fragen ob ihr es vielleicht nochmals probieren könnt es abzubuchen ansonsten muss ich sie mit erlagschein einzahlen',neutral
'Was kostet das pro Minute?',neutral
'gibts noch abbuchung am circa 15 juni',neutral
'ok das heißt auch wenn mir online der Bonus nicht mehr angezeigt wird?',neutral
'"Ich habe noch keine ""Tarifdetails"". Die URL bitte"',angry
'"Guten Abend! Mein Name ist Vivien Farkas am {Potentielle_ID} habe ich eine neue HOME_NET Tarife bei Ihnen gemacht nämlich ""My HomeNet unlimited Turbo i"". Im Vertrag steht dass es {Potentielle_ID} pro Monat kostet plus Basispaket 20 Euro. Also {Potentielle_ID} EUR aber in meiner Rechnung steht {Potentielle_ID} EUR. Das verstehe ich nicht."',neutral
'Was ist dann die Rechnung {Potentielle_ID} vom 06.06.2016 mit EUR {Potentielle_ID}???',neutral
'eine zusatzanmeldung war es und da habe ich 290 euro überwisen',worry
'was kostet die rufnr mitnahme?',neutral
'Ich hätte noch eine weitere Frage: Was ist ihr billigster Handytarif sofern man bereits ein Handy hat?',neutral
'Wie kann ich wissen  ob sie die Rechnung geben? Ich hoffe der Hoffnung per E-Mail',angry
'Es gibt lediglich eine Nummer die auf dem Bankauszug steht',neutral
'Guten Tag ich hätte eine Bitte. Ich habe seinerzeit die Rechnungsausstellung auf digital umgestellt also Zusendung per E-Mail im PDF-Format. Nun bräuchte ich jedoch für diesen Monat eine postalisch zugestellt Rechnung wäre dies bitte möglich?',neutral
'Hallo! Ich interessiere mich für das Fairphone. Bin jetzt bei Drei und würde eine Neuanmeldung bei T-Mobile in Betracht ziehen. Doch der Tarif von 39 bzw 42 Euro monatl. ist der mit der Handyrate oder ohne? Ich meine wenn das Handy abbezhlt ist wirds dann billiger?',neutral
'Ja habe ich.. aber an der Bank liegt es auch nicht.. dort können die Rechnungen auch abgebucht werden wenn da mal zuwenig drauf sein sollte..!',neutral
'na ratenzahlung brauch i net',neutral
'hallo! wnn bekomme ich die erste rechnung zugestellt',neutral
'ich habe aber eine erhöhte rechbung deswegen und möchte wissen wieso wenn ich doch die 200 minuten frei habe',angry
'wo kann ich meine abbuchungsaufträge ändern ?',neutral
'wohin sende ich eine einzahlungsbestätigung einer rechnung damit mein hand wieder entsperrt wird',neutral
'wie viel kostet 108mb überschrittene datenverbrauch',neutral
'"ich erhalte seit einiger zeit per e-mail meine rechnung - kann aber die seite nicht aufmachen (meldung: ""absender unbekannt"")!!!"',worry
'hallo warum wird mir bei meiner rechnung hardwarefinanzierung (monatl. bis 01.11.2016) abgezogen',angry
'nein. unsere rechnungen werden abgebucht.',neutral
'meine nummer ist noch immer gesperrt rückstand wurde bezahlt',worry
'hallo ich möchte umsteigen auf online rechnungen aber es kommt die fehlermeldung bei allen 2 benutzer dass benutzerkonto keine berechtigung',worry
'icy möchte guthaben aufladen was muss inch tun?',neutral
'nein eigentlich nicht. mache es wahrscheinlich über die bank. das scheint mir einfacher zu sein.',neutral
'ich habe hier eine rechnung bekommen und weiss nicht warum',worry
'wieso liegen 10€ auf meinem guthaben aber mega klax wird nicht auchgeladen und ich bekomme keine bestätigungs sms',worry
'letzte woche wurde mir 45 eur gutschrift zugesagt bitte um rechnungskorrektur! {name}',neutral
'wo finde ich meine offene rechnung',neutral
