"1256192887354.txt";"TRANSCRIPTION: Sie war nicht groß gewillt mir zu helfen
";"d";;;;;"Häufigkeit absolut";"Kategorie";"Häufigkeit relativ (%)"
"1256203583896.txt";"TRANSCRIPTION: hätte gerne mein Gesprächspartner zurück
";"b";;;;;;;
"1256203703930.txt";"TRANSCRIPTION: sofort aus der Leitung
";"a";;;;;;;
"1256203944139.txt";"TRANSCRIPTION: wollte eigentlich [fragment] ich wollte eigentlich verbunden werden und bin jetzt mit diesem tollen Gerät verbunden worden was soll ich jetzt das bewerten ein Gespräch das noch nicht stattgefunden hat super mein Zeit kost' anscheinend nichts
";"a";;;;;;;
"1256204665016.txt";"TRANSCRIPTION: ich wurde ja noch nicht mal durchgestellt
";"a";;;;;;;
"1256204785264.txt";"TRANSCRIPTION: ich habe trotz *Ankündigung* keine Verbindung bekommen
";"a";;;;;;;
"1256205145499.txt";"TRANSCRIPTION: man ist zu keiner Lösung gekommen
";0;;;;;;;
"1256205265538.txt";"TRANSCRIPTION: meine Gesprächspartnerin hat kurzerhand aufgelegt weiter
";"b";;;;;;;
"1256205385792.txt";"TRANSCRIPTION: weil ich eine kostenpflichtige Rufnummer anrufe und ich so *ein* Geseier mir anhören muss und dann auf einmal nichts mehr höre und am Ende das Ganze bewerten soll und nicht mal zu meinen Statement komme um mein Frust loszuwerden können Sie sich natürlich auch denken für eine Leitung die nicht erbracht wird Geld zu bezahlen ist nicht toll deswegen negativ absolut negativ
";"a";;;;;;;
"1256205506005.txt";"TRANSCRIPTION: Gespräch unvermittelt beendet warum Ursache unklar
";"b";;;;;;;
"1256205626227.txt";"TRANSCRIPTION: ich sollte zu einer Störung im Internet verbunden werden dann bekam ich die Mitteilung es ist kein Mitarbeiter frei und ich soll später wieder anrufen
";3;"a";;;;;;
"1256205626475.txt";"TRANSCRIPTION: das Gespräch ist einfach abgebrochen worden
";"b";;;;;;;
"1256205746510.txt";"TRANSCRIPTION: [fragment] lange Wartezeit
";"e";;;;;;;
"1256205866750.txt";"TRANSCRIPTION: weiter weiter
";0;;;;;;;
"1256205987011.txt";"TRANSCRIPTION: also ich find' absolut zum Kotzen wenn man mitten im Gespräch auflegt
";"b";;;;;;;
"1256205987234.txt";"TRANSCRIPTION: die Verbindung war abgebrochen
";"b";;;;;;;
"1256206107332.txt";"TRANSCRIPTION: ich habe noch gar keine Antwort von Ihnen ich hänge in der Warteschleife
";"a";;;;;;;
"1256206227583.txt";"TRANSCRIPTION: ganz einfach hier ist keine Qualität und keine Verbindung
";"a";;;;;;;
"1256206227829.txt";"TRANSCRIPTION: Gespräch wurde einfach beendet
";"b";;;;;;;
"1256206347885.txt";"TRANSCRIPTION: ich habe [fragment] ich habe den Namen der Beraterin nicht verstanden und als ich mein Problem schildern wollte hat sie einfach aufgelegt
";"b";;;;;;;
"1256206348125.txt";"TRANSCRIPTION: ich habe keine Antwort auf meine Frage bekommen und bin zu Ihnen weitergestellt worden
";"a";;;;;;;
"1256206828278.txt";"TRANSCRIPTION: also es geht erste Mal um diese Vertrag diese media Receiver Vertrag wo ich Widerruf nahm und es dauert mir zu lange das Ganze dies Verarbeitung das Ganze das ist alles @hes@ fast ein Monat her und es wurde mein Vertrag nicht wieder zurückgestellt ich will ein anderen Vertrag machen ich geh' jeden Tag in Telekom Laden sagen so lange mir nicht grünes Licht geben im mein Computer kann ich nichts machen ich sagen mir das dauert mir zu lange es geht wenn Sie etwas verkaufen wollen das geht immer sehr schnell aber wenn's um was widerrufen geht das geht immer sehr langsam und das find' ich halt nicht korrekt auch weil mir ein etwas verkauft worden ist wo @hes@ nicht ganz war ja wo @hes@ schön gemacht worden ist aber am Ende hätt' ich mehr zahlen müssen als was vereinbaren und das bin ich sehr unzufrieden mit danke
";1;;;;;;;
"1256206828563.txt";"TRANSCRIPTION: man ((hört)) sich nie ich [fragment] mit *einem* Mitarbeiter kam nicht zurück und ich [noise] ich ab' das Gespräch nicht beendet sondern Sie haben's beendet
";"b";;;;;;;
"1256206828627.txt";"TRANSCRIPTION: Gespräch wurde nicht beendet
";"b";;;;;;;
"1256206829299.txt";"TRANSCRIPTION: ich war bisher noch nicht verbunden mit einem Mitarbeiter ich sitze immer noch in der Warteschlange
";"a";;;;;;;
"1256206829371.txt";"TRANSCRIPTION: Ihre Machenschaften dass man von Ihren Telefon Heinis überrumpelt wird und @hes@ im Prinzip zu gezwungen wird oder Einwilligung zur Nutzung meiner gespeicherten Vertragsdaten ich hoffe das haben Sie verstanden
";0;;;;;;;
"1256207189436.txt";"TRANSCRIPTION: die Entsperrung Telefonnummer gibt es nicht mehr und einen @hes@ telefonischen Weg ist auch nicht möglich jetzt muss ich einen Brief an T-Mobile richten um mein @hes@ Anliegen zu äußern
";1;;;;;;;
"1256207909772.txt";"TRANSCRIPTION: ja ist folgendes hier @hes@ meine Mutter wohnt auf der Straße und ich wohn' auf der Straße wir haben jeder @hes@ verschiedene Anschlüsse und Telefonnummer und Ihre Gesellschaft ist nicht in der Lage die Telefonnummern oder wenn ich anruf' das *auseinander* zu halten das irgendwo traurig und jetzt bekomm' ich @hes@ weil kein Anschluss war @hes@ bekomme' ich irgendwie *eine* Fahrtkostenrechnung wo ich gar nix mit zu tun habe na ja das war's an und für sich irgendwie schlafen die alle bei Ihnen da im Unternehmen ich weiß es nicht oder ich hab' immer mit dem falschen Person zu tun das war an und für sich alles bin sehr unzufrieden ich krieg' einfach *eine* Rechnung über Fahrtkosten und hab' gar nicht in Anspruch genommen den Service
";1;4;;;;;;
"1256208030061.txt";"TRANSCRIPTION: leider hat die Dame sich nicht wieder zurückgemeldet und ich hatte jetzt überhaupt kein Beratungsgespräch daher kann ich auch nicht sagen das ich zufrieden bin [pause] mein Problem ist unbeantwortet geblieben
";"a";;;;;;;
"1256208150329.txt";"TRANSCRIPTION: hallo weiter weiter weiter [pause] [vocal] tolle Beratung
";0;;;;;;;
"1256208150597.txt";"TRANSCRIPTION: die Erreichbarkeit der Hotline ist eine reine Katastrophe die möchte ich mit höchst ungenügend bewerten
";0;;;;;;;
"1256209110674.txt";"TRANSCRIPTION: stundenlang in der Warteschleife
";"e";;;;;;;
"1256209110966.txt";"TRANSCRIPTION: an sich bin ich immer mit Ihren Auskünften zufrieden gewesen im Moment sitz' ich nur auf der Wartebank um weiterverbunden zu werden es geht um meine Oktober Rechnung ich kann den Einzelverbindungsnachweis @hes@ nicht ausdrucken lassen ich bekomme immer Error auf meinem Display
";"a";4;;;;;;
"1256209351040.txt";"TRANSCRIPTION: mir wurden von einem Jahr gewisse [fragment] Entgegenkommen oder vor einigen Monaten *ein* gewisses Entgegenkommen versprochen in Bezug auf *einen* Umzug davon wusste ein Mitarbeiter hat gemeint das wär' möglich die Mitarbeiterin vom Umzug sagt das sei auf gar keinen Fall möglich und das Gespräch einfach dann mittendrin beendet
";2;"b";;;;;;
"1256209591271.txt";"TRANSCRIPTION: [fragment] normalerweise befind' ich mich noch grad im Gespräch
";"b";;;;;;;
"1256209951557.txt";"TRANSCRIPTION: ich wurde noch nicht weitervermittelt
";"a";;;;;;;
"1256210191792.txt";"TRANSCRIPTION: [fragment] ohne [fragment] zwölf Tag ohne Internet immer die Auskunft es sei alles in Ordnung
";3;;;;;;;
"1256210192063.txt";"TRANSCRIPTION: @hes@ leider ist das falsch verstanden worden ich war sehr gut zufrieden Dankeschön
";0;;;;;;;
"1256210192134.txt";"TRANSCRIPTION: bekam ja gar keine Berater ich habe Sie angewählt ich bekam keinen Berater
";"a";;;;;;;
"1256210432179.txt";"TRANSCRIPTION: weiter [pause] weiter
";0;;;;;;;
"1256210792384.txt";"TRANSCRIPTION: ja [fragment] das das wollte nicht so ausführen und @hes@ wollte @hes@ weiß nicht weiter Verständnis haben was wollte ich und sofort ausgelegt
";"b";;;;;;;
"1256210912609.txt";"TRANSCRIPTION: ich habe bei drei Anrufe bei Ihnen drei verschiedene Kündigungszeiten für meinen Vertrag @hes@ ja erhalten und habe daraufhin @hes@ ja den falschen Entschluss gefasst nämlich Sie jetzt hier zu verlassen und @hes@ ja bin aber mehrfach unterschiedlich beraten worden nicht zum ersten Mal zum wiederholten Male das macht mich sehr sauer
";1;"d";;;;;;
"1256211272889.txt";"TRANSCRIPTION: ich hab' gestern bereits eine Störung gemeldet und keine Antwort bekommen und ich hab' heute wieder eine Störung gemeldet bei mir kann keiner ins Internet und keiner telefonieren danke
";3;;;;;;;
"1256211273198.txt";"TRANSCRIPTION: dieser unhöfliche Mensch mit dem ich gerade telefoniert habe hat einfach aufgelegt @hes@ ohne mir meine [fragment] meine Frage zu beantworten meine Frage war die wann wird endlich unsere Störung behoben die seit dem ersten Oktober besteht danach hat er einfach aufgelegt vorher wurd' ich von *einer* anderen Dame die hat gesagt einen Moment da muss ich mal gucken die *scheinbar* auch keine Ahnung hat einfach weiterverbunden dann landete ich auf einmal bei diesem Herrn finde so was eine Unverschämtheit dass ich mit so was meine Zeit vergeuden muss und ich find's eine Unverschämtheit dass unser DSL Anschluss jetzt seit dem ersten Oktober nicht mehr funktioniert
";"b";"c";3;;;;;
"1256211753988.txt";"TRANSCRIPTION: das Gespräch wurde direkt beendet ich hatte meine Frage nicht so Ende gestellt und dann kam schon diese Durchsage und die Gespräche die ich davor geführt habe waren auch nicht so zufriedenstellend @hes@ [vocal] da die Antwort nicht mit der tatsächlichen Sache übereinstimmt man kann mich nach wie vor nicht anrufen und man erklärt mir dass *aber* wär' wieder in Ordnung *ist* aber leider nicht weiter
";"b";3;;;;;;
"1256211754203.txt";"TRANSCRIPTION: diese jenige hat aufgelegt
";"b";;;;;;;
"1256211874261.txt";"TRANSCRIPTION: unter *einem* kurzen Moment erwart' ich auch ein kurzen Moment und nicht über zehn Minuten in einer Warteschleife aber allgemein bin ich mit dem Service der Telekom nicht zufrieden weil wenn man einfach [fragment] @hes@ ISDN Anschluss gekappt bekommt und auch einmal analog bekommt ohne Rücksprache ist das unter aller Granate
";0;;;;;;;
"1256211994466.txt";"TRANSCRIPTION: ich habe mit niemand gesprochen kann daher auch das Gespräch nicht als gut bewerten möchte jetzt dringend mit einem Kundenberater sprechen
";"a";;;;;;;
"1256211996370.txt";"TRANSCRIPTION: seit @hes@ drei Monate warte ich @hes@ Zugang @hes@ Daten von @hes@ die Telefonnummer und *die* Internetzugang danke
";1;;;;;;;
"1256212356452.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256212476698.txt";"TRANSCRIPTION: die Beratung war außerordentlich freundlich und hilfsbereit und der Berater hat alles versucht nur wie die Telekom selbst reagiert die jetzt seit Wochen unseren Fall einer Sonder Kündigung hinauszögert das ist sehr unbefriedigend aber der Berater selbst hat sich sehr viel Mühe gegeben das war sehr positiv
";1;;;;;;;
"1256212476953.txt";"TRANSCRIPTION: ja ein schönen guten Tag Sie wollten wissen was genau @hes@ so war was ich mir gewünscht habe die Weiterleitung @hes@ also ich wurde jetzt praktisch weitergeleitet zu [fragment] @hes@ und die Weiterleitung fiel @hes@ ging total ins Leere und ich konnte da nichts @hes@ weiter tun *na* gut das wär's
";"c";;;;;;;
"1256212597009.txt";"TRANSCRIPTION: der Mitarbeiter bat mich zu warten und dann war das Gespräch auf einmal weg beziehungsweise die Umfrage kam damit bin ich natürlich nicht zufrieden denn [vocal] er war ja noch nicht fertig oder das Gespräch war noch nicht fertig
";"c";;;;;;;
"1256213317296.txt";"TRANSCRIPTION: ich *habe* eine Frage gehabt zu meinem Email Postfach Center und diese Frage konnte mir trotz @hes@ @hes@ längerer Diskussion und auch eigenes Einsicht in das Postfach nicht beantwortet werden und auch nicht geholfen werden ich @hes@ der der Mann selber wusste auch keine Antwort und keine Lösung und das hat mich nicht zufrieden gestellt
";1;"d";;;;;;
"1256214037584.txt";"TRANSCRIPTION: hätte gerne Kundenberater
";"a";;;;;;;
"1256214278609.txt";"TRANSCRIPTION: ich habe mich auf eine Auftragsbestätigung bezogen die ich nicht gegeben habe das hab' ich versucht dieser Frau [nachn] mitzuteilen das hat sie aber nicht verstanden ich hab' ihr mehrfach erklärt dass ich in Urlaub war ich und diesen Auftrag hätte gar nicht geben können und daraufhin wollte sie mir das verkaufen was auch auch hier per Änderung nun plötzlich @hes@ hier @hes@ bestätigt wird ich habe keinerlei Änderung vorgenommen und diese Änderung wollte diese Frau [nachn] [fragment] partout durchziehen und als ich darum bat mich mit *einem* Vorgesetzten zu verbinden hat die frech aufgelegt das ist f unmöglich das ist ja so wie die Telekom überall bekannt ist das ist *eine* Schweinerei
";1;"b";;;;;;
"1256214518887.txt";"TRANSCRIPTION: die Verbindung wurde einfach unterbrochen und ich wurde jetzt zu diesem Frage Antwort Quiz durchgestellt meine Antwort die ich @hes@ mein Frage die hatte wurde noch nicht beantwortet ich hatte eine technische Frage und ich komm' deswegen hier nicht weiter
";"a";;;;;;;
"1256214639113.txt";"TRANSCRIPTION: ich bin nicht weiterverbunden worden ich hab' jetzt zum [fragment] [fragment] Mal angerufen und ich bin seit zehn Tagen jetzt ohne Telefon [pause] und ich @hes@ krieg' absolut keine Rückmeldung ich werde immer wieder vertröstet
";"a";"d";;;;;;
"1256214639380.txt";"TRANSCRIPTION: ich bin mehrere Male unterbrochen worden und muss plötzlich Fragen beantworten obwohl meine Sache noch überhaupt nichts geregelt ist deswegen bin ich Stock sauer so
";"b";;;;;;;
"1256214999426.txt";"TRANSCRIPTION: lange Wartezeit
";"e";;;;;;;
"1256215239716.txt";"TRANSCRIPTION: wenn ich ein Service Anruf habe und gar nicht durchgestellt werd' zu einem Berater kann ich damit nicht zufrieden sein
";"a";;;;;;;
"1256215240837.txt";"TRANSCRIPTION: seit zwei Monaten hör' ich nur die Worte und Versprechungen und neue Termine @hes@ seit zwei Monaten also seit zwei Monaten @hes@ habe ich kein Anschluss Telefonanschluss und Internetanschluss und bekomm' ich nur neue Termine und nur Worte mit Termin weiß ich nicht warten warten warten warten einfach unglaubliche Geschichte das ist ja nicht zu fassen dass das so was in Deutschland möglich ist [vocal] danke
";1;"d";;;;;;
"1256215480891.txt";"TRANSCRIPTION: alle fachlich inkompetent bei allen meinen Anrufen
";"d";;;;;;;
"1256215601145.txt";"TRANSCRIPTION: ich bin nicht aufgeklärt worden dass ich bei der Tele2 mit [fragment] der ich ein Vertrag im August @hes@ beendet habe @hes@ Ihnen das schriftlich mitteilen musste oder @hes@ oder telefonisch und die Tele2 jetzt noch angeblich ab September und im September und Oktober die zwanzig Euro @hes@ abgezogen haben bei Ihnen beziehungsweise bei Ihnen in Rechnung gestellt wurden [fragment] oder von Ihnen ja
";1;;;;;;;
"1256215842033.txt";"TRANSCRIPTION: ich kam [fragment] ich kam nicht zu dem Ergebnis was ich mir erhofft hatte
";0;;;;;;;
"1256216802278.txt";"TRANSCRIPTION: patzige Antworten ohne eine Lösungsansatz des Problemes unqualifiziert nicht weiterverbinden werden also alles was einen Dienstleitungsunternehmen machen muss wird hier nicht gemacht eine Katastrophe
";"d";;;;;;;
"1256217642519.txt";"TRANSCRIPTION: ich war in der Beratung bei der Frau [nachn] und die hat mich dann an *einen* Fachberater weitergestellt dort hat nur *das* Telefon geklingelt und die Fachbeartung hat nicht stattgefunden ich find' das eigentlich *eine* Zumutung wie Sie mit Ihrer Kundschaft umgehen
";"c";;;;;;;
"1256217642773.txt";"TRANSCRIPTION: ich habe überhaupt kein Kundenberater an der [fragment] in der Leine Leitung gehabt ich bin sehr sehr unzufrieden mit diesem Service wieso kann @hes@ [vocal] [fragment] dauert redet die Computer aber kein Kundenberater ich wünsche ein Kundenberater bitte ich weiß gar nicht was das ganze Theater mit mit dieser Abfragerei soll das darf doch nicht war sein Ende Ende der Nachrichten
";"a";;;;;;;
"1256218242874.txt";"TRANSCRIPTION: na ja es (()) (()) nur verbinden und danach kommt nichts mehr da draus seit einer Woche [fragment] wart' ich auf meine Leitung ich glaube ich sollte mal die wieder [fragment] lieber wo anders wechseln [fragment]
";1;;;;;;;
"1256218363089.txt";"TRANSCRIPTION: es hat definitiv nicht die Klärung stattgefunden und @hes@ mir wurde mir wurde es gesagt es wird Rücksprache gehalten und man hat mich nicht wieder zurückgeholt um mich zu informieren find' ich sehr schade
";"b";;;;;;;
"1256218483289.txt";"TRANSCRIPTION: [garbage]
";0;;;;;;;
"1256218483510.txt";"TRANSCRIPTION: ich sollte weiterverbindet werden man hat mich raus dem Leitung geworfen und heute hab' ich eine Termin gehabt die man bis jetzt seit *drei* vier Stunden nicht erschienen ist
";"a";1;;;;;;
"1256218723572.txt";"TRANSCRIPTION: Mitarbeiter hat einfach das Gespräch beendet
";"b";;;;;;;
"1256218723823.txt";"TRANSCRIPTION: *eigentlich* war nur grad *auflegen* verbinden wurd' (()) (()) (()) *Reinfall* wenn ich @hes@ was mit der Telekom ein Vertrag mündlich am Telefon *abschließe* denselben auch mündlich *kündigen* können* Amen
";1;;;;;;;
"1256219443890.txt";"TRANSCRIPTION: der Berater hat ja einfach aufgelegt
";"b";;;;;;;
